,Province,Country_Region,Date,Day,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
30,Punjab,Pakistan,3/14/2020,14,3,2020,30.811346,72.13913199999999,0,0,0,0,46327.36,179573.94,5631.34,0.35,0.18,0.61,362617.68,33091.55,1445260.28,0.35,0.18,0.61,113939260.1,2.4567,1,1,1.0565,0,0.0003,1,223.64,704.95,26.46,65.81,207.46,7.79,51809,1601,56.56,5.71,43.0,19.36,Passing clouds.
31,Sindh,Pakistan,3/14/2020,14,3,2020,26.009446,68.77680699999999,0,0,0,0,13235.76,32908.95,4528.68,0.0,0.0,0.0,92329.96,31888.71,242087.6,0.0,0.0,0.0,49907675.66,5.8112,1,1,1.0528,0,0.1147,1,90.54,214.03,33.61,26.65,62.99,9.89,31732,848,60.0,2.29,10.71,8.55,Clear.
32,Khyber Pakhtunkhwa,Pakistan,3/14/2020,14,3,2020,34.485332,72.09169,3,2,0,0,19062.99,64095.17,1952.25,0.0,0.0,0.0,149576.81,13162.18,450521.14,0.0,0.0,0.0,38100470.55,2.8945,1,1,1.0584,0,0.0002,1,163.09,422.41,12.17,48.0,124.31,3.58,23948,643,50.95,4.8,64.11,26.63,Fog.
33,Azad Jammu and Kashmir,Pakistan,3/14/2020,14,3,2020,34.027401,73.947253,0,0,0,0,159.53,627.9,17.24,0.0,0.0,0.0,1859.97,238.83,7449.16,0.0,0.0,0.0,4334762.096,0.8216,1,1,1.0583,0,0.0001,1,3.88,15.88,0.41,1.14,4.67,0.12,2009,59,35.0,3.43,60.0,0.0,Passing clouds.
34,Gilgit-Baltistan,Pakistan,3/14/2020,14,3,2020,35.792146,74.982138,3,0,0,0,1320.99,4376.27,262.41,0.0,0.0,0.0,33092.22,7789.15,117942.27,0.0,0.0,0.0,2227137.68,0.8216,1,1,1.0593,0,0.003,1,62.49,184.35,12.95,18.39,54.25,3.81,1423,36,33.57,6.43,34.57,17.15,Overcast.
35,Balochistan,Pakistan,3/15/2020,15,3,2020,28.328491999999997,65.898403,11,3,0,0,4298.93,11594.35,774.8,0.56,0.31,0.97,75525.37,13413.66,262544.22,0.0,0.0,0.01,13398367.25,1.2134,1,1,1.051,0,0.0095,1,140.84,477.23,21.48,41.73,141.4,6.37,6767,201,40.43,7.43,41.0,0.0,Clear.
36,Islamabad,Pakistan,3/15/2020,15,3,2020,33.665087,73.121219,4,0,0,0,409.83,1042.73,111.5,0.03,0.02,0.06,5120.38,1074.08,15416.0,0.0,0.0,0.0,2155173.482,6.295,1,1,1.0547,0,0.0076,1,9.44,39.3,0.69,2.8,11.64,0.2,2567,52,72.29,0.71,6.29,4.28,Clear.
37,Punjab,Pakistan,3/15/2020,15,3,2020,30.811346,72.13913199999999,1,1,0,0,49802.55,193327.36,6499.22,0.35,0.18,0.61,412420.22,39590.77,1632868.4,0.0,0.0,0.0,113939260.1,0.3676,1,1,1.0531,0,0.0006,1,331.24,1153.44,35.6,98.15,341.77,10.55,51809,1601,62.46,3.0,23.35,11.88,Clear.
38,Sindh,Pakistan,3/15/2020,15,3,2020,26.009446,68.77680699999999,0,0,0,0,15168.32,37036.48,5181.09,0.0,0.0,0.0,107498.28,37442.74,281182.63,0.0,0.0,0.0,49907675.66,8.9395,1,1,1.0496,0,0.1242,1,103.89,245.69,38.62,30.78,72.8,11.44,31732,848,72.29,0.71,6.29,4.28,Clear.
39,Khyber Pakhtunkhwa,Pakistan,3/15/2020,15,3,2020,34.485332,72.09169,7,4,0,0,21402.99,72922.9,2235.06,4.07,1.94,7.38,170979.8,15397.23,518475.35,4.07,1.94,7.37,38100470.55,0.9172,1,1,1.0549,0,0.0003,1,203.34,550.97,15.37,60.25,163.25,4.55,23948,643,58.39,5.68,63.05,28.69,Haze.
40,Azad Jammu and Kashmir,Pakistan,3/15/2020,15,3,2020,34.027401,73.947253,0,0,0,0,171.01,665.69,18.52,0.01,0.0,0.01,2030.98,256.98,8114.85,0.01,0.0,0.01,4334762.096,1.5236,1,1,1.0548,0,0.0001,1,4.74,23.85,0.47,1.41,7.07,0.14,2009,59,41.71,1.43,48.57,0.0,Overcast.
41,Gilgit-Baltistan,Pakistan,3/15/2020,15,3,2020,35.792146,74.982138,4,1,0,0,1203.86,4064.12,225.85,0.05,0.03,0.09,34296.08,8201.26,122829.8,0.05,0.03,0.09,2227137.68,1.5236,1,1,1.0557,0,0.004,1,78.39,228.52,15.71,23.23,67.71,4.65,1423,36,51.71,3.57,27.43,12.88,Overcast.
42,Balochistan,Pakistan,3/16/2020,16,3,2020,28.328491999999997,65.898403,14,3,0,0,4324.41,11098.91,786.18,0.57,0.31,0.98,79849.78,14270.03,271096.06,0.0,0.0,0.01,13398367.25,0.6782,1,1,1.0477,0,0.015,1,175.76,553.27,26.38,52.56,165.47,7.89,6767,201,57.86,14.0,48.14,0.0,Haze.
43,Islamabad,Pakistan,3/16/2020,16,3,2020,33.665087,73.121219,4,0,0,0,428.77,1072.92,118.17,0.03,0.02,0.06,5549.15,1195.58,16450.62,0.0,0.0,0.0,2155173.482,10.4416,1,1,1.0512,0,0.0118,1,11.43,51.08,0.98,3.42,15.28,0.29,2567,52,85.71,5.43,27.43,21.41,Clear.
44,Punjab,Pakistan,3/16/2020,16,3,2020,30.811346,72.13913199999999,13,12,0,0,53180.39,206403.53,7446.69,0.35,0.18,0.62,465600.61,47037.45,1831322.13,0.0,0.0,0.0,113939260.1,2.4724,1,1,1.0496,0,0.0011,1,465.47,1609.02,45.51,139.21,481.21,13.61,51809,1601,38.69,0.25,2.58,1.25,Clear.
45,Sindh,Pakistan,3/16/2020,16,3,2020,26.009446,68.77680699999999,0,0,0,0,17246.92,41685.84,5873.99,0.0,0.0,0.0,124745.19,43401.8,324598.64,0.0,0.0,0.0,49907675.66,12.9292,1,1,1.0464,0,0.134,1,126.97,285.05,44.21,37.97,85.25,13.22,31732,848,85.71,5.43,27.43,21.41,Clear.
46,Khyber Pakhtunkhwa,Pakistan,3/16/2020,16,3,2020,34.485332,72.09169,15,8,0,0,23878.3,82137.98,2545.89,10.56,5.02,19.12,194858.1,17943.12,593940.77,6.48,3.08,11.74,38100470.55,1.7276,1,1,1.0513,0,0.0006,1,247.31,717.92,18.08,73.96,214.71,5.41,23948,643,31.8,2.84,32.09,14.35,Haze.
47,Azad Jammu and Kashmir,Pakistan,3/16/2020,16,3,2020,34.027401,73.947253,0,0,0,0,182.74,702.84,19.61,0.02,0.01,0.04,2213.72,276.68,8817.69,0.02,0.01,0.03,4334762.096,4.6664,1,1,1.0512,0,0.0002,1,5.56,26.74,0.71,1.66,8.0,0.21,2009,59,51.14,2.0,41.14,0.0,Clear.
48,Gilgit-Baltistan,Pakistan,3/16/2020,16,3,2020,35.792146,74.982138,5,1,0,0,1094.71,3802.68,195.1,0.52,0.27,0.92,35390.79,8601.17,127341.38,0.47,0.24,0.83,2227137.68,4.6664,1,1,1.0521,0,0.0052,1,96.38,295.87,18.4,28.83,88.48,5.5,1423,36,64.43,2.86,22.86,17.19,Haze.
49,Balochistan,Pakistan,3/17/2020,17,3,2020,28.328491999999997,65.898403,15,1,0,0,4375.0,10874.13,804.04,0.57,0.31,0.98,84224.79,15160.65,279343.43,0.0,0.0,0.01,13398367.25,3.2026,1,1,1.0444,0,0.0228,1,227.06,859.57,35.88,67.41,255.2,10.65,6767,201,60.71,11.57,37.0,0.0,Overcast.
50,Islamabad,Pakistan,3/17/2020,17,3,2020,33.665087,73.121219,5,1,0,0,446.26,1097.08,124.71,0.03,0.02,0.06,5995.41,1326.32,17506.52,0.0,0.0,0.0,2155173.482,15.3551,1,1,1.0477,0,0.0178,1,14.57,56.42,1.36,4.33,16.75,0.4,2567,52,77.43,8.43,36.71,25.7,Clear.
51,Punjab,Pakistan,3/17/2020,17,3,2020,30.811346,72.13913199999999,26,13,0,0,56447.08,218690.09,8456.49,0.35,0.18,0.62,522047.69,55508.63,2040003.83,0.0,0.0,0.0,113939260.1,6.1232,1,1,1.0462,0,0.0019,1,679.58,2393.92,58.69,201.76,710.73,17.42,51809,1601,57.54,3.08,18.33,11.26,Passing clouds.
52,Sindh,Pakistan,3/17/2020,17,3,2020,26.009446,68.77680699999999,0,0,0,0,19451.21,46388.68,6617.34,0.0,0.0,0.0,144196.4,50174.96,372188.78,0.0,0.0,0.0,49907675.66,17.7893,1,1,1.0432,0,0.1441,1,162.44,389.4,57.61,48.23,115.61,17.11,31732,848,77.43,8.43,36.71,25.7,Clear.
53,Khyber Pakhtunkhwa,Pakistan,3/17/2020,17,3,2020,34.485332,72.09169,17,2,1,1,26462.07,91561.44,2885.1,17.93,8.53,32.48,221320.17,20828.22,676910.25,7.38,3.51,13.36,38100470.55,5.0758,1,1,1.0478,0,0.001,1,303.92,854.31,21.3,90.23,253.63,6.32,23948,643,57.98,3.66,39.0,19.8,Haze.
54,Azad Jammu and Kashmir,Pakistan,3/17/2020,17,3,2020,34.027401,73.947253,0,0,0,0,194.62,738.98,20.71,0.04,0.02,0.06,2408.34,298.09,9556.67,0.01,0.01,0.02,4334762.096,8.6485,1,1,1.0477,0,0.0004,1,6.94,30.03,0.87,2.06,8.92,0.26,2009,59,49.43,4.14,75.29,0.0,Clear.
55,Gilgit-Baltistan,Pakistan,3/17/2020,17,3,2020,35.792146,74.982138,8,3,0,0,994.72,3557.02,169.41,1.35,0.69,2.37,36385.51,8989.18,131351.32,0.82,0.42,1.45,2227137.68,8.6485,1,1,1.0485,0,0.0068,1,118.91,417.64,21.28,35.3,123.99,6.32,1423,36,58.29,3.0,19.43,12.86,Clear.
56,Balochistan,Pakistan,3/18/2020,18,3,2020,28.328491999999997,65.898403,23,8,0,0,4453.52,10795.93,829.98,1.31,0.72,2.26,88678.31,16093.5,287371.55,0.74,0.41,1.28,13398367.25,6.3829,1,1,1.0427,0,0.0333,1,261.29,978.07,40.03,77.57,290.36,11.88,6767,201,33.86,6.71,24.0,0.0,Passing clouds.
57,Islamabad,Pakistan,3/18/2020,18,3,2020,33.665087,73.121219,7,2,0,0,462.09,1114.88,131.18,0.03,0.02,0.06,6457.5,1466.36,18578.4,0.0,0.0,0.0,2155173.482,20.954,1,1,1.0459,0,0.0258,1,16.31,62.3,1.6,4.84,18.5,0.47,2567,52,58.0,4.14,14.14,12.85,Clear.
58,Punjab,Pakistan,3/18/2020,18,3,2020,30.811346,72.13913199999999,33,7,0,0,59593.46,230100.28,9402.03,0.36,0.18,0.62,581641.16,65076.44,2258258.06,0.0,0.0,0.0,113939260.1,10.5916,1,1,1.0445,0,0.0034,1,870.76,3097.14,72.42,258.5,919.45,21.5,51809,1601,70.27,3.19,22.98,13.76,Clear.
59,Sindh,Pakistan,3/18/2020,18,3,2020,26.009446,68.77680699999999,0,0,0,0,21757.61,50983.63,7401.96,0.0,0.0,0.0,165954.01,57824.95,423708.88,0.0,0.0,0.0,49907675.66,23.4481,1,1,1.0415,0,0.1544,1,207.79,501.13,75.23,61.69,148.77,22.33,31732,848,58.0,4.14,14.14,12.85,Clear.
60,Khyber Pakhtunkhwa,Pakistan,3/18/2020,18,3,2020,34.485332,72.09169,19,2,2,1,29123.79,100932.59,3252.82,25.11,11.95,45.47,250443.95,24081.04,776348.38,7.17,3.41,12.99,38100470.55,9.1201,1,1,1.046,0,0.0018,1,350.46,998.75,25.13,104.04,296.5,7.46,23948,643,60.82,6.14,55.84,27.31,Passing clouds.
61,Azad Jammu and Kashmir,Pakistan,3/18/2020,18,3,2020,34.027401,73.947253,1,1,0,0,206.53,773.78,21.95,0.04,0.02,0.06,2614.87,321.36,10330.45,0.0,0.0,0.0,4334762.096,13.448,1,1,1.0459,0,0.0007,1,7.73,33.34,1.05,2.29,9.9,0.31,2009,59,38.43,2.71,47.43,0.0,Clear.
62,Gilgit-Baltistan,Pakistan,3/18/2020,18,3,2020,35.792146,74.982138,13,5,0,0,904.46,3328.23,148.04,2.48,1.28,4.36,37289.97,9448.79,134898.37,1.13,0.58,1.99,2227137.68,13.448,1,1,1.0467,0,0.0089,1,132.49,472.88,23.27,39.33,140.38,6.91,1423,36,39.14,3.0,7.57,8.56,Passing clouds.
63,Balochistan,Pakistan,3/19/2020,19,3,2020,28.328491999999997,65.898403,81,58,0,0,4562.39,11343.35,865.3,3.28,1.8,5.65,93240.7,17077.46,295267.41,1.97,1.08,3.39,13398367.25,10.1877,1,1,1.041,0,0.0469,1,296.09,1094.78,43.63,87.65,324.09,12.91,6767,201,48.71,9.0,37.43,0.0,Clear.
64,Islamabad,Pakistan,3/19/2020,19,3,2020,33.665087,73.121219,10,3,0,0,476.16,1126.33,137.75,0.06,0.04,0.1,6933.66,1615.71,19660.96,0.02,0.01,0.04,2155173.482,27.1144,1,1,1.044,0,0.036000000000000004,1,18.19,68.12,1.87,5.38,20.17,0.55,2567,52,81.0,4.0,19.43,17.1,Clear.
65,Punjab,Pakistan,3/19/2020,19,3,2020,30.811346,72.13913199999999,83,50,0,0,62614.06,240566.77,10399.73,0.71,0.36,1.24,644255.21,75805.7,2485378.43,0.35,0.18,0.62,113939260.1,15.8235,1,1,1.0427,0,0.0058,1,1097.99,3939.96,88.62,325.04,1166.37,26.23,51809,1601,65.29,1.52,14.08,8.11,Passing clouds.
