,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
88,Khyber Pakhtunkhwa,Pakistan,2021-01-14 05:22:32,34.485332,72.09169,62377.0,1752.0
89,Punjab,Pakistan,2021-01-14 05:22:32,30.811346,72.13913199999998,147292.0,4348.0
90,Sindh,Pakistan,2021-01-14 05:22:32,26.009446,68.77680699999999,230718.0,3744.0
91,Azad Jammu and Kashmir,Pakistan,2021-01-15 05:22:24,34.027401,73.947253,8567.0,237.0
92,Balochistan,Pakistan,2021-01-15 05:22:24,28.328492,65.898403,18515.0,189.0
93,Gilgit-Baltistan,Pakistan,2021-01-15 05:22:24,35.792146,74.982138,4882.0,101.0
94,Islamabad,Pakistan,2021-01-15 05:22:24,33.665087,73.121219,39749.0,449.0
95,Khyber Pakhtunkhwa,Pakistan,2021-01-15 05:22:24,34.485332,72.09169,62719.0,1762.0
96,Punjab,Pakistan,2021-01-15 05:22:24,30.811346,72.13913199999998,147953.0,4370.0
97,Sindh,Pakistan,2021-01-15 05:22:24,26.009446,68.77680699999999,231953.0,3755.0
98,Azad Jammu and Kashmir,Pakistan,2021-01-16 05:22:40,34.027401,73.947253,8583.0,238.0
99,Balochistan,Pakistan,2021-01-16 05:22:40,28.328492,65.898403,18537.0,190.0
100,Gilgit-Baltistan,Pakistan,2021-01-16 05:22:40,35.792146,74.982138,4882.0,101.0
101,Islamabad,Pakistan,2021-01-16 05:22:40,33.665087,73.121219,39888.0,450.0
102,Khyber Pakhtunkhwa,Pakistan,2021-01-16 05:22:40,34.485332,72.09169,62996.0,1773.0
103,Punjab,Pakistan,2021-01-16 05:22:40,30.811346,72.13913199999998,148488.0,4387.0
104,Sindh,Pakistan,2021-01-16 05:22:40,26.009446,68.77680699999999,233396.0,3769.0
105,Azad Jammu and Kashmir,Pakistan,2021-01-17 05:22:17,34.027401,73.947253,8606.0,241.0
106,Balochistan,Pakistan,2021-01-17 05:22:17,28.328492,65.898403,18569.0,190.0
107,Gilgit-Baltistan,Pakistan,2021-01-17 05:22:17,35.792146,74.982138,4882.0,101.0
108,Islamabad,Pakistan,2021-01-17 05:22:17,33.665087,73.121219,40019.0,456.0
109,Khyber Pakhtunkhwa,Pakistan,2021-01-17 05:22:17,34.485332,72.09169,63339.0,1779.0
110,Punjab,Pakistan,2021-01-17 05:22:17,30.811346,72.13913199999998,149222.0,4409.0
111,Sindh,Pakistan,2021-01-17 05:22:17,26.009446,68.77680699999999,234654.0,3775.0
112,Azad Jammu and Kashmir,Pakistan,2021-01-18 05:22:34,34.027401,73.947253,8631.0,241.0
113,Balochistan,Pakistan,2021-01-18 05:22:34,28.328492,65.898403,18612.0,190.0
114,Gilgit-Baltistan,Pakistan,2021-01-18 05:22:34,35.792146,74.982138,4884.0,101.0
115,Islamabad,Pakistan,2021-01-18 05:22:34,33.665087,73.121219,40111.0,457.0
116,Khyber Pakhtunkhwa,Pakistan,2021-01-18 05:22:34,34.485332,72.09169,63615.0,1783.0
117,Punjab,Pakistan,2021-01-18 05:22:34,30.811346,72.13913199999998,149782.0,4432.0
118,Sindh,Pakistan,2021-01-18 05:22:34,26.009446,68.77680699999999,235576.0,3793.0
119,Azad Jammu and Kashmir,Pakistan,2021-01-19 05:22:15,34.027401,73.947253,8654.0,243.0
120,Balochistan,Pakistan,2021-01-19 05:22:15,28.328492,65.898403,18622.0,190.0
121,Gilgit-Baltistan,Pakistan,2021-01-19 05:22:15,35.792146,74.982138,4887.0,101.0
122,Islamabad,Pakistan,2021-01-19 05:22:15,33.665087,73.121219,40177.0,457.0
123,Khyber Pakhtunkhwa,Pakistan,2021-01-19 05:22:15,34.485332,72.09169,63825.0,1791.0
124,Punjab,Pakistan,2021-01-19 05:22:15,30.811346,72.13913199999998,150316.0,4460.0
125,Sindh,Pakistan,2021-01-19 05:22:15,26.009446,68.77680699999999,236530.0,3813.0
126,Azad Jammu and Kashmir,Pakistan,2021-01-20 05:21:54,34.027401,73.947253,8672.0,245.0
127,Balochistan,Pakistan,2021-01-20 05:21:54,28.328492,65.898403,18640.0,191.0
128,Gilgit-Baltistan,Pakistan,2021-01-20 05:21:54,35.792146,74.982138,4892.0,102.0
129,Islamabad,Pakistan,2021-01-20 05:21:54,33.665087,73.121219,40304.0,460.0
130,Khyber Pakhtunkhwa,Pakistan,2021-01-20 05:21:54,34.485332,72.09169,64078.0,1799.0
131,Punjab,Pakistan,2021-01-20 05:21:54,30.811346,72.13913199999998,150889.0,4476.0
132,Sindh,Pakistan,2021-01-20 05:21:54,26.009446,68.77680699999999,237308.0,3830.0
133,Azad Jammu and Kashmir,Pakistan,2021-01-21 05:22:01,34.027401,73.947253,8706.0,248.0
134,Balochistan,Pakistan,2021-01-21 05:22:01,28.328492,65.898403,18670.0,192.0
135,Gilgit-Baltistan,Pakistan,2021-01-21 05:22:01,35.792146,74.982138,4894.0,102.0
136,Islamabad,Pakistan,2021-01-21 05:22:01,33.665087,73.121219,40430.0,460.0
137,Khyber Pakhtunkhwa,Pakistan,2021-01-21 05:22:01,34.485332,72.09169,64373.0,1811.0
138,Punjab,Pakistan,2021-01-21 05:22:01,30.811346,72.13913199999998,151603.0,4501.0
139,Sindh,Pakistan,2021-01-21 05:22:01,26.009446,68.77680699999999,238470.0,3843.0
140,Azad Jammu and Kashmir,Pakistan,2021-01-22 05:22:10,34.027401,73.947253,8753.0,248.0
141,Balochistan,Pakistan,2021-01-22 05:22:10,28.328492,65.898403,18696.0,192.0
142,Gilgit-Baltistan,Pakistan,2021-01-22 05:22:10,35.792146,74.982138,4899.0,102.0
143,Islamabad,Pakistan,2021-01-22 05:22:10,33.665087,73.121219,40548.0,461.0
144,Khyber Pakhtunkhwa,Pakistan,2021-01-22 05:22:10,34.485332,72.09169,64651.0,1823.0
145,Punjab,Pakistan,2021-01-22 05:22:10,30.811346,72.13913199999998,152158.0,4523.0
146,Sindh,Pakistan,2021-01-22 05:22:10,26.009446,68.77680699999999,239186.0,3855.0
147,Azad Jammu and Kashmir,Pakistan,2021-01-23 05:22:03,34.027401,73.947253,8770.0,252.0
148,Balochistan,Pakistan,2021-01-23 05:22:03,28.328492,65.898403,18715.0,192.0
149,Gilgit-Baltistan,Pakistan,2021-01-23 05:22:03,35.792146,74.982138,4899.0,102.0
150,Islamabad,Pakistan,2021-01-23 05:22:03,33.665087,73.121219,40629.0,463.0
151,Khyber Pakhtunkhwa,Pakistan,2021-01-23 05:22:03,34.485332,72.09169,64945.0,1826.0
152,Punjab,Pakistan,2021-01-23 05:22:03,30.811346,72.13913199999998,152925.0,4537.0
153,Sindh,Pakistan,2021-01-23 05:22:03,26.009446,68.77680699999999,239935.0,3875.0
154,Azad Jammu and Kashmir,Pakistan,2021-01-24 05:22:35,34.027401,73.947253,8795.0,254.0
155,Balochistan,Pakistan,2021-01-24 05:22:35,28.328492,65.898403,18736.0,193.0
156,Gilgit-Baltistan,Pakistan,2021-01-24 05:22:35,35.792146,74.982138,4901.0,102.0
157,Islamabad,Pakistan,2021-01-24 05:22:35,33.665087,73.121219,40713.0,465.0
158,Khyber Pakhtunkhwa,Pakistan,2021-01-24 05:22:35,34.485332,72.09169,65287.0,1832.0
159,Punjab,Pakistan,2021-01-24 05:22:35,30.811346,72.13913199999998,153410.0,4561.0
160,Sindh,Pakistan,2021-01-24 05:22:35,26.009446,68.77680699999999,240570.0,3888.0
161,Azad Jammu and Kashmir,Pakistan,2021-01-25 05:22:16,34.027401,73.947253,8825.0,256.0
162,Balochistan,Pakistan,2021-01-25 05:22:16,28.328492,65.898403,18750.0,193.0
163,Gilgit-Baltistan,Pakistan,2021-01-25 05:22:16,35.792146,74.982138,4902.0,102.0
164,Islamabad,Pakistan,2021-01-25 05:22:16,33.665087,73.121219,40815.0,468.0
165,Khyber Pakhtunkhwa,Pakistan,2021-01-25 05:22:16,34.485332,72.09169,65532.0,1839.0
166,Punjab,Pakistan,2021-01-25 05:22:16,30.811346,72.13913199999998,154017.0,4568.0
167,Sindh,Pakistan,2021-01-25 05:22:16,26.009446,68.77680699999999,241200.0,3892.0
168,Azad Jammu and Kashmir,Pakistan,2021-01-26 05:22:02,34.027401,73.947253,8855.0,257.0
169,Balochistan,Pakistan,2021-01-26 05:22:02,28.328492,65.898403,18754.0,193.0
170,Gilgit-Baltistan,Pakistan,2021-01-26 05:22:02,35.792146,74.982138,4902.0,102.0
171,Islamabad,Pakistan,2021-01-26 05:22:02,33.665087,73.121219,40892.0,468.0
172,Khyber Pakhtunkhwa,Pakistan,2021-01-26 05:22:02,34.485332,72.09169,65740.0,1848.0
173,Punjab,Pakistan,2021-01-26 05:22:02,30.811346,72.13913199999998,154717.0,4608.0
174,Sindh,Pakistan,2021-01-26 05:22:02,26.009446,68.77680699999999,242054.0,3900.0
175,Azad Jammu and Kashmir,Pakistan,2021-01-27 05:23:41,34.027401,73.947253,8877.0,258.0
176,Balochistan,Pakistan,2021-01-27 05:23:41,28.328492,65.898403,18765.0,193.0
177,Gilgit-Baltistan,Pakistan,2021-01-27 05:23:41,35.792146,74.982138,4903.0,102.0
178,Islamabad,Pakistan,2021-01-27 05:23:41,33.665087,73.121219,40972.0,469.0
179,Khyber Pakhtunkhwa,Pakistan,2021-01-27 05:23:41,34.485332,72.09169,65953.0,1857.0
180,Punjab,Pakistan,2021-01-27 05:23:41,30.811346,72.13913199999998,155214.0,4646.0
181,Sindh,Pakistan,2021-01-27 05:23:41,26.009446,68.77680699999999,242793.0,3925.0
182,Azad Jammu and Kashmir,Pakistan,2021-01-28 05:22:24,34.027401,73.947253,8931.0,259.0
183,Balochistan,Pakistan,2021-01-28 05:22:24,28.328492,65.898403,18788.0,193.0
184,Gilgit-Baltistan,Pakistan,2021-01-28 05:22:24,35.792146,74.982138,4906.0,102.0
