Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax
Khyber Pakhtunkhwa,Pakistan,2021-01-25,34.485332,72.09169,65532.0,1839.0,60476.0,41970.97,58813.55,23997.4,34116.78,16239.07,61782.43,23336704.0,14424696.0,27612560.0,151.8,72.25,274.91,8.22,8.22,8.22,1846.59,1846.28,1847.08,258.96,258.96,258.96,0.0,0.0,0.0,23336704.0,14424696.0,27612560.0,0.0,0.0,0.0,41970.97,23997.4,58813.55,38100471.0,12.5925,1,1,1.1532,0,0.3823,1,5291.42,10013.19,2407.66,971.94,1839.24,442.24,413.28,939.5,139.76,0.0,0.0,0.0,413.2823,939.4983,139.7646
Punjab,Pakistan,2021-01-25,30.811346,72.139132,154017.0,4568.0,138894.0,99877.86,141504.4,64704.09,79968.1,41033.95,140237.3,38624875.0,31107910.0,47055539.0,395.07,202.72,692.84,22.72,22.72,22.72,4598.1,4597.8,4598.54,603.46,603.46,603.46,0.0,0.0,0.0,38624875.0,31107910.0,47055539.0,0.0,0.0,0.0,99877.86,64704.09,141504.4,113939260.0,7.088,1,1,1.1482,0,0.4704,1,14753.2,22866.36,8325.72,2709.89,4200.13,1529.28,1334.75,2296.06,649.93,0.0,0.0,0.0,1334.753,2296.062,649.9304
Sindh,Pakistan,2021-01-25,26.009446,68.776807,241200.0,3892.0,219481.0,61259.99,90414.85,40595.93,45231.86,23995.24,76585.32,30254406.0,23537898.0,36911783.0,190.38,100.99,322.35,16.29,16.29,16.29,3869.99,3869.61,3870.56,740.53,740.53,740.53,0.0,0.0,0.0,30254406.0,23537898.0,36911783.0,0.0,0.0,0.0,61259.99,40595.93,90414.85,49907676.0,0.5803,1,1,1.1384,0,0.5486,1,7824.64,12205.91,4785.51,1437.24,2242.0,879.01,750.08,1255.96,372.93,0.0,0.0,0.0,750.0816,1255.964,372.9348
Azad Jammu and Kashmir,Pakistan,2022-01-25,34.027401,73.947253,35474.0,752.0,,196431.1,254567.1,158536.6,8707.03,4366.41,15018.67,5647343.0,4741514.0,6791160.0,4.99,2.51,8.59,0.43,0.43,0.43,753.29,752.36,754.81,231.86,222.06,248.45,1015325.0,710998.5,1344502.0,4632018.0,3916094.0,5656608.0,104975.8,86077.18,137697.9,91455.31,73389.99,116638.9,4334762.0,40.8297,0,1,1.153,0,0.3865,0,499.13,897.67,237.87,94.08,164.04,44.71,91.14,164.63,42.1,45.90044,83.28425,21.03908,45.24415,81.3463,21.18457
Balochistan,Pakistan,2022-01-25,28.328492,65.898403,33975.0,367.0,,90305.12,135599.0,39553.48,11914.76,6527.97,20490.36,10642804.0,7130480.0,13306703.0,0.03,0.03,0.03,0.0,0.0,0.0,367.62,367.29,368.08,58.97,54.68,63.95,414620.1,220883.4,625701.2,10228184.0,6898391.0,12722834.0,35957.9,15664.51,54167.73,54347.22,23888.97,81473.42,13398367.0,39.8137,0,1,1.1424,0,0.2441,0,329.99,623.02,106.72,62.22,116.18,20.19,48.29,93.83,15.52,19.01139,37.42003,6.164623,29.2741,56.43533,9.351586
Gilgit-Baltistan,Pakistan,2022-01-25,35.792146,74.982138,10510.0,187.0,,20535.65,31652.33,11147.42,3605.58,1866.99,6325.07,2062234.0,1393973.0,2772451.0,0.07,0.02,0.2,0.0,0.0,0.01,187.09,186.53,187.97,16.43,15.74,17.39,78453.72,43076.47,122617.3,1983780.0,1337733.0,2658852.0,8218.705,4422.071,12725.66,12316.94,6725.35,18923.96,2227138.0,40.8297,0,1,1.1556,0,0.3478,0,31.71,63.94,12.07,6.67,13.47,2.55,5.01,10.38,1.85,2.129993,4.431507,0.7709061,2.883019,5.948086,1.074241
Islamabad,Pakistan,2022-01-25,33.665087,73.121219,120128.0,976.0,,29322.27,47292.05,18528.71,2869.86,1739.09,4684.49,2146175.0,1278869.0,3377175.0,2.53,1.54,4.12,0.87,0.86,0.87,984.83,981.64,988.83,1240.72,1181.1,1316.63,314590.3,181384.8,581906.9,1831584.0,1077148.0,2832654.0,14795.8,9118.436,24185.79,14526.47,9391.622,22723.17,2155173.0,31.3572,0,1,1.1528,0,0.4233,0,501.79,1085.89,247.85,94.54,202.31,47.31,59.23,133.1,28.09,29.28932,67.26509,13.81385,29.93977,65.83572,14.41473
Khyber Pakhtunkhwa,Pakistan,2022-01-25,34.485332,72.09169,185683.0,5977.0,,882619.8,1271002.0,451967.3,110512.8,52597.06,200137.1,64302132.0,33020342.0,98796453.0,60.74,28.92,109.98,3.29,3.29,3.29,5981.48,5980.82,5982.54,849.6,822.64,888.02,5269154.0,2404938.0,9237770.0,59032978.0,30683964.0,90607256.0,379177.9,195773.3,550358.5,503441.9,262792.5,723116.6,38100471.0,52.7466,0,1,1.1532,0,0.2677,0,2030.06,4905.56,611.86,382.36,925.9,113.24,304.52,750.58,90.37,142.9469,348.4686,42.15525,161.5725,402.1089,48.13775
Punjab,Pakistan,2022-01-25,30.811346,72.139132,466164.0,13117.0,,688316.4,926882.8,476604.3,228165.9,117075.5,400131.4,95746520.0,72857348.0,121557569.0,93.2,47.83,163.43,5.36,5.36,5.36,13119.3,13118.66,13120.27,1945.91,1907.74,1995.11,7297626.0,5219140.0,10309647.0,88448894.0,67778510.0,111460846.0,331033.1,227449.6,449922.7,357283.3,249154.6,476960.1,113939260.0,44.0467,0,1,1.1482,0,0.4537,0,7278.23,13232.33,3053.24,1373.27,2415.94,576.62,855.99,1587.0,359.64,444.8299,825.8951,185.5723,411.1588,760.3818,174.0662
Sindh,Pakistan,2022-01-25,26.009446,68.776807,529218.0,7746.0,,263016.4,364480.6,184460.7,90231.94,47868.66,152776.5,66264122.0,49586590.0,88192955.0,106.89,56.71,180.98,9.15,9.14,9.15,7720.16,7719.31,7721.47,2765.16,2662.88,2856.16,7036872.0,4534993.0,11256813.0,59227249.0,45031170.0,77082918.0,125587.5,88639.36,173590.6,137428.9,95497.08,191683.4,49907676.0,36.1724,0,1,1.1384,0,0.4799,0,8544.28,15150.67,3937.51,1613.11,2879.67,739.54,727.88,1336.56,351.2,361.128,658.4398,174.2352,366.7509,673.681,175.6052
Azad Jammu and Kashmir,Pakistan,2021-01-26,34.027401,73.947253,8855.0,257.0,8280.0,4624.45,6703.19,3314.96,2979.63,1495.34,5137.93,1480029.0,1180709.0,1786801.0,14.9,7.47,25.7,1.29,1.29,1.29,257.8,257.38,258.49,28.74,28.74,28.74,0.0,0.0,0.0,1480029.0,1180709.0,1786801.0,0.0,0.0,0.0,4624.447,3314.962,6703.188,4334762.0,5.5088,1,1,1.1524,0,0.4118,1,600.41,931.01,334.31,110.18,170.85,61.35,51.19,88.75,24.92,0.0,0.0,0.0,51.18788,88.75318,24.9241
Balochistan,Pakistan,2021-01-26,28.328492,65.898403,18754.0,193.0,18293.0,1651.37,3434.31,206.32,6270.37,3434.86,10784.34,5982133.0,4009746.0,7373375.0,11.61,6.36,19.95,0.36,0.36,0.36,193.47,193.31,193.72,14.03,14.03,14.03,0.0,0.0,0.0,5982133.0,4009746.0,7373375.0,0.0,0.0,0.0,1651.369,206.3178,3434.313,13398367.0,6.5252,1,1,1.1419,0,0.2685,1,399.59,700.74,215.14,73.33,128.59,39.48,36.34,81.98,16.44,0.0,0.0,0.0,36.3439,81.97562,16.44241
Gilgit-Baltistan,Pakistan,2021-01-26,35.792146,74.982138,4902.0,102.0,4775.0,279.22,525.21,153.34,1977.6,1023.52,3470.29,1127667.0,644429.1,1514337.0,0.42,0.23,0.72,0.02,0.02,0.02,102.61,102.34,103.03,1.17,1.17,1.17,0.0,0.0,0.0,1127667.0,644429.1,1514337.0,0.0,0.0,0.0,279.2229,153.3444,525.2076,2227138.0,5.5088,1,1,1.155,0,0.3426,1,19.87,37.28,9.71,3.65,6.84,1.78,1.26,2.88,0.54,0.0,0.0,0.0,1.259251,2.883532,0.544714
Islamabad,Pakistan,2021-01-26,33.665087,73.121219,40892.0,468.0,38843.0,1507.01,2420.1,688.14,1377.19,834.36,2248.31,796891.2,424557.9,1133426.0,5.13,3.11,8.38,1.76,1.76,1.77,472.59,471.14,474.41,89.6,89.6,89.6,0.0,0.0,0.0,796891.2,424557.9,1133426.0,0.0,0.0,0.0,1507.014,688.1376,2420.104,2155173.0,-6.052,1,1,1.1522,0,0.4533,1,128.97,186.19,90.39,23.67,34.17,16.59,12.07,19.79,6.37,0.0,0.0,0.0,12.06896,19.78666,6.369124
Khyber Pakhtunkhwa,Pakistan,2021-01-26,34.485332,72.09169,65740.0,1848.0,60562.0,41439.45,58203.88,23305.21,34275.18,16314.46,62069.28,23378144.0,14453482.0,27668648.0,158.4,75.39,286.86,8.57,8.57,8.57,1855.16,1854.86,1855.65,252.46,252.46,252.46,0.0,0.0,0.0,23378144.0,14453482.0,27668648.0,0.0,0.0,0.0,41439.45,23305.21,58203.88,38100471.0,13.2338,1,1,1.1526,0,0.3897,1,5192.69,9839.12,2365.32,952.89,1805.55,434.05,399.27,904.4,137.77,0.0,0.0,0.0,399.2687,904.3998,137.7676
Punjab,Pakistan,2021-01-26,30.811346,72.139132,154717.0,4608.0,139421.0,99929.27,135195.8,66278.16,80386.78,41248.77,140971.5,38724804.0,31197031.0,47169037.0,418.68,214.83,734.23,24.07,24.07,24.07,4622.17,4621.88,4622.62,589.24,589.24,589.24,0.0,0.0,0.0,38724804.0,31197031.0,47169037.0,0.0,0.0,0.0,99929.27,66278.16,135195.8,113939260.0,7.7022,1,1,1.1476,0,0.4775,1,14802.59,22826.71,8333.83,2716.37,4188.85,1529.31,1338.62,2339.16,621.19,0.0,0.0,0.0,1338.621,2339.158,621.1859
Sindh,Pakistan,2021-01-26,26.009446,68.776807,242054.0,3900.0,219952.0,58130.3,87721.81,39709.33,45419.73,24094.9,76903.43,30312536.0,23577607.0,36984128.0,187.87,99.66,318.11,16.07,16.07,16.08,3886.06,3885.68,3886.63,777.32,777.32,777.32,0.0,0.0,0.0,30312536.0,23577607.0,36984128.0,0.0,0.0,0.0,58130.3,39709.33,87721.81,49907676.0,0.9756,1,1,1.1379,0,0.5511,1,7907.3,12279.31,4789.59,1451.04,2253.33,878.92,748.7,1260.07,375.81,0.0,0.0,0.0,748.6971,1260.067,375.8058
Azad Jammu and Kashmir,Pakistan,2022-01-26,34.027401,73.947253,35734.0,752.0,,192934.8,249255.6,150237.2,8713.66,4369.74,15030.1,5840278.0,4916189.0,6981507.0,6.64,3.34,11.44,0.57,0.57,0.58,753.86,752.93,755.38,289.88,277.74,310.91,1119754.0,799499.0,1443474.0,4720524.0,4009754.0,5736894.0,104428.5,82537.11,136320.9,88506.29,67456.02,113561.4,4334762.0,40.8297,0,0,1.1524,0,0.3865,0,620.8,1105.5,295.99,117.36,205.54,55.81,112.99,203.15,51.99,57.3057,103.4374,26.20424,55.67946,99.71252,25.92992
Balochistan,Pakistan,2022-01-26,28.328492,65.898403,34032.0,367.0,,99261.02,150222.4,43510.0,11914.79,6528.0,20490.39,10742065.0,7188687.0,13459934.0,0.03,0.03,0.03,0.0,0.0,0.0,367.62,367.29,368.09,63.96,59.37,69.4,454312.6,239465.9,682801.8,10287753.0,6933598.0,12799954.0,39692.5,17288.28,60475.69,59568.52,26221.72,89757.1,13398367.0,39.8137,0,0,1.1419,0,0.2441,0,363.53,692.14,117.29,68.74,129.47,22.18,51.36,100.47,16.5,20.40097,40.38091,6.591845,30.95571,60.11438,9.887951
Gilgit-Baltistan,Pakistan,2022-01-26,35.792146,74.982138,10526.0,187.0,,23296.89,36354.57,12730.61,3605.66,1867.05,6325.2,2085531.0,1413311.0,2800678.0,0.08,0.02,0.21,0.0,0.0,0.01,187.1,186.53,187.98,18.9,18.12,20.0,87819.59,48146.16,135770.2,1997711.0,1349333.0,2675678.0,9365.865,5069.683,14691.19,13931.02,7660.928,21663.38,2227138.0,40.8297,0,0,1.155,0,0.3478,0,37.45,75.78,14.11,7.87,15.97,2.96,5.74,11.92,2.1,2.451174,5.116093,0.8774371,3.28796,6.804278,1.21848
Islamabad,Pakistan,2022-01-26,33.665087,73.121219,120813.0,979.0,,29313.06,46054.18,18941.81,2871.35,1739.99,4686.91,2175488.0,1304596.0,3410952.0,1.49,0.91,2.42,0.51,0.51,0.52,985.34,982.14,989.35,1287.16,1226.77,1364.37,329448.9,192549.7,601112.0,1846039.0,1092561.0,2849991.0,14858.59,9389.618,24097.26,14454.47,9481.259,22040.8,2155173.0,31.3572,0,0,1.1522,0,0.4233,0,533.17,1148.73,260.46,100.75,214.68,50.3,61.28,137.73,28.72,30.52917,70.08706,14.20627,30.75441,67.63854,14.58359
Khyber Pakhtunkhwa,Pakistan,2022-01-26,34.485332,72.09169,186537.0,5980.0,,917481.9,1326739.0,490985.7,110574.9,52626.6,200249.5,65219614.0,33672902.0,99541840.0,62.06,29.55,112.37,3.36,3.36,3.36,5984.84,5984.18,5985.9,973.72,940.57,1018.02,5666348.0,2683721.0,9522658.0,59553266.0,31047776.0,91027196.0,397193.9,206492.9,577126.5,520288.0,284492.8,749612.1,38100471.0,52.7466,0,0,1.1526,0,0.2677,0,2365.37,5742.42,690.51,446.94,1086.97,128.21,348.52,859.86,103.06,164.411,401.5712,48.32154,184.1134,458.2841,54.62118
Punjab,Pakistan,2022-01-26,30.811346,72.139132,467698.0,13119.0,,710761.5,955222.6,489779.3,228271.5,117129.7,400316.6,96457282.0,73467118.0,122337163.0,105.62,54.21,185.21,6.07,6.07,6.07,13125.37,13124.74,13126.35,2032.04,1992.81,2083.81,7640683.0,5471209.0,10631997.0,88816599.0,68042560.0,111824873.0,343056.6,234495.4,465523.0,367704.8,255283.9,489699.5,113939260.0,44.0467,0,0,1.1476,0,0.4537,0,7634.33,13788.89,3210.24,1444.64,2527.29,607.55,892.8,1656.93,375.6,466.1284,866.4561,194.9507,426.6745,790.4786,180.6457
Sindh,Pakistan,2022-01-26,26.009446,68.776807,531008.0,7753.0,,257591.2,361377.3,179005.8,90352.19,47932.46,152980.1,66521713.0,49796395.0,88381649.0,120.25,63.8,203.6,10.29,10.29,10.29,7730.45,7729.59,7731.76,2559.66,2462.81,2643.04,7160270.0,4645022.0,11362180.0,59361443.0,45147076.0,77198733.0,123397.9,86661.21,173428.5,134193.3,90424.26,188546.1,49907676.0,36.1724,0,0,1.1379,0,0.4799,0,8306.04,14676.02,3797.65,1572.7,2788.64,717.6,673.73,1236.26,325.41,336.0919,611.6142,162.0769,337.6425,621.0973,161.9171
Azad Jammu and Kashmir,Pakistan,2021-01-27,34.027401,73.947253,8877.0,258.0,8297.0,4938.08,7017.26,3576.64,2990.39,1500.74,5156.5,1484967.0,1184616.0,1792049.0,10.77,5.4,18.57,0.93,0.93,0.93,258.74,258.31,259.42,28.24,28.24,28.24,0.0,0.0,0.0,1484967.0,1184616.0,1792049.0,0.0,0.0,0.0,4938.075,3576.645,7017.255,4334762.0,6.0078,1,1,1.1518,0,0.4136,1,615.47,936.18,343.13,112.88,171.7,62.93,53.49,90.38,25.53,0.0,0.0,0.0,53.49099,90.38395,25.53043
Balochistan,Pakistan,2021-01-27,28.328492,65.898403,18765.0,193.0,18315.0,2032.7,3518.42,234.63,6281.98,3441.22,10804.3,5984166.0,4010563.0,7375180.0,11.61,6.36,19.95,0.36,0.36,0.36,193.82,193.67,194.08,12.39,12.39,12.39,0.0,0.0,0.0,5984166.0,4010563.0,7375180.0,0.0,0.0,0.0,2032.703,234.6259,3518.421,13398367.0,7.0009,1,1,1.1413,0,0.2685,1,401.39,790.06,219.01,73.62,144.91,40.17,38.18,79.37,16.15,0.0,0.0,0.0,38.17503,79.37497,16.14586
Gilgit-Baltistan,Pakistan,2021-01-27,35.792146,74.982138,4903.0,102.0,4781.0,341.4,618.93,173.06,1978.03,1023.75,3471.02,1128009.0,644669.7,1514694.0,0.42,0.23,0.72,0.02,0.02,0.02,102.63,102.36,103.05,1.14,1.14,1.14,0.0,0.0,0.0,1128009.0,644669.7,1514694.0,0.0,0.0,0.0,341.4017,173.0604,618.9342,2227138.0,6.0078,1,1,1.1544,0,0.3436,1,18.99,35.04,9.38,3.48,6.43,1.72,1.23,2.84,0.53,0.0,0.0,0.0,1.232433,2.840954,0.5329058
Islamabad,Pakistan,2021-01-27,33.665087,73.121219,40972.0,469.0,38970.0,1592.12,2554.39,724.08,1381.8,837.15,2255.84,798483.4,425289.6,1135686.0,4.61,2.79,7.53,1.58,1.58,1.59,474.17,472.71,476.0,90.89,90.89,90.89,0.0,0.0,0.0,798483.4,425289.6,1135686.0,0.0,0.0,0.0,1592.116,724.082,2554.392,2155173.0,-5.4019,1,1,1.1516,0,0.4567,1,128.76,187.88,87.64,23.62,34.46,16.07,12.52,19.01,6.35,0.0,0.0,0.0,12.52238,19.00535,6.351404
Khyber Pakhtunkhwa,Pakistan,2021-01-27,34.485332,72.09169,65953.0,1857.0,60950.0,41516.73,58019.65,22880.95,34445.45,16395.5,62377.65,23419660.0,14481802.0,27724605.0,170.28,81.04,308.37,9.22,9.22,9.22,1864.38,1864.07,1864.87,242.89,242.89,242.89,0.0,0.0,0.0,23419660.0,14481802.0,27724605.0,0.0,0.0,0.0,41516.73,22880.95,58019.65,38100471.0,13.7426,1,1,1.152,0,0.3953,1,5094.92,9632.81,2319.21,934.46,1766.75,425.37,382.33,858.56,132.43,0.0,0.0,0.0,382.3335,858.5562,132.4268
Punjab,Pakistan,2021-01-27,30.811346,72.139132,155214.0,4646.0,139887.0,100005.1,134171.1,66463.62,80826.57,41474.43,141742.8,38824809.0,31284701.0,47283372.0,439.79,225.66,771.27,25.29,25.29,25.29,4647.46,4647.16,4647.91,567.6,567.6,567.6,0.0,0.0,0.0,38824809.0,31284701.0,47283372.0,0.0,0.0,0.0,100005.1,66463.62,134171.1,113939260.0,8.2102,1,1,1.147,0,0.4823,1,14872.82,23025.48,8323.77,2727.82,4223.09,1526.66,1329.28,2389.92,619.82,0.0,0.0,0.0,1329.279,2389.916,619.8153
Sindh,Pakistan,2021-01-27,26.009446,68.776807,242793.0,3925.0,221007.0,55866.79,82772.62,38211.29,45599.26,24190.14,77207.4,30368403.0,23615819.0,37054909.0,179.53,95.24,303.97,15.36,15.36,15.36,3901.42,3901.04,3902.0,828.24,828.24,828.24,0.0,0.0,0.0,30368403.0,23615819.0,37054909.0,0.0,0.0,0.0,55866.79,38211.29,82772.62,49907676.0,1.3169,1,1,1.1373,0,0.5537,1,7972.82,12183.0,4726.62,1462.29,2234.48,866.91,738.87,1268.3,371.48,0.0,0.0,0.0,738.8713,1268.295,371.4845
Azad Jammu and Kashmir,Pakistan,2022-01-27,34.027401,73.947253,36082.0,752.0,,185433.7,240325.8,137715.3,8720.94,4373.44,15042.61,6025712.0,5091226.0,7164321.0,7.27,3.71,12.5,0.63,0.61,0.65,754.49,753.56,756.03,357.69,342.92,383.75,1221420.0,889728.4,1533543.0,4804291.0,4099390.0,5806838.0,101666.5,77129.72,133689.9,83767.15,59592.87,108147.7,4334762.0,40.8297,0,0,1.1518,0,0.3865,0,777.46,1359.09,369.03,147.41,258.72,69.79,138.47,247.78,63.5,70.69446,126.9499,32.26059,67.77291,120.8286,31.41162
Balochistan,Pakistan,2022-01-27,28.328492,65.898403,34131.0,367.0,,108865.4,166276.0,47789.75,11914.82,6528.03,20490.42,10850931.0,7253687.0,13625925.0,0.03,0.03,0.03,0.0,0.0,0.0,367.63,367.29,368.09,67.26,62.51,73.0,498029.7,260192.3,744387.0,10352901.0,6972809.0,12884342.0,43717.07,19048.98,67485.63,65148.33,28740.77,98781.15,13398367.0,39.8137,0,0,1.1413,0,0.2441,0,396.72,760.82,127.74,75.24,142.76,24.18,53.12,104.52,17.08,21.26335,42.29099,6.85024,31.85968,62.25748,10.18563
Gilgit-Baltistan,Pakistan,2022-01-27,35.792146,74.982138,10557.0,187.0,,26330.47,41534.92,14500.23,3605.74,1867.11,6325.35,2111861.0,1435992.0,2831480.0,0.08,0.03,0.23,0.0,0.0,0.01,187.1,186.54,187.98,21.5,20.63,22.76,98454.06,53940.77,151066.9,2013407.0,1362900.0,2693977.0,10634.47,5794.619,16872.27,15696.01,8705.609,24667.85,2227138.0,40.8297,0,0,1.1544,0,0.3478,0,43.9,89.12,16.38,9.23,18.78,3.44,6.5,13.55,2.35,2.790492,5.840918,0.9898906,3.714426,7.705844,1.359903
Islamabad,Pakistan,2022-01-27,33.665087,73.121219,122098.0,979.0,,29251.46,44833.22,19170.29,2872.17,1740.4,4687.98,2204739.0,1330905.0,3442470.0,0.82,0.4,2.09,0.28,0.22,0.67,985.62,982.37,989.58,1300.99,1241.57,1376.98,344341.0,204157.7,619203.3,1860398.0,1108369.0,2866107.0,14892.11,9611.51,23548.86,14359.35,9558.78,21284.37,2155173.0,31.3572,0,0,1.1516,0,0.4233,0,558.67,1198.18,269.17,105.88,224.56,52.31,61.87,139.0,28.95,31.0269,71.21089,14.37387,30.8439,67.79229,14.61401
Khyber Pakhtunkhwa,Pakistan,2022-01-27,34.485332,72.09169,187983.0,5986.0,,943506.3,1368598.0,529938.0,110635.8,52655.78,200360.3,66163120.0,34477695.0,100301573.0,60.95,28.69,110.75,3.3,3.26,3.4,5988.14,5987.47,5989.22,1112.68,1074.99,1163.11,6078001.0,2964883.0,9817890.0,60085119.0,31435273.0,91452801.0,411652.9,223965.4,601751.7,531853.4,305972.6,766846.3,38100471.0,52.7466,0,0,1.152,0,0.2677,0,2759.2,6695.88,785.32,522.96,1271.09,146.74,398.62,982.37,117.31,188.8887,461.2785,55.20552,209.7283,521.0937,61.8931
Punjab,Pakistan,2022-01-27,30.811346,72.139132,469540.0,13126.0,,733637.3,983451.3,505949.2,228389.7,117191.3,400522.4,97190919.0,74102939.0,123126498.0,118.2,61.64,205.86,6.8,6.73,6.91,13132.17,13131.53,13133.15,2077.61,2038.36,2130.98,7996013.0,5732978.0,11011173.0,89194906.0,68314231.0,112192568.0,355330.0,243075.1,481119.9,378307.2,262831.2,502331.4,113939260.0,44.0467,0,0,1.147,0,0.4537,0,7963.49,14268.51,3346.18,1511.27,2646.54,635.14,911.85,1693.8,384.1,477.9977,888.9473,200.3759,433.8557,804.8555,183.7227
Sindh,Pakistan,2022-01-27,26.009446,68.776807,533496.0,7765.0,,252756.7,355232.3,170712.6,90480.84,48001.1,153197.4,66774470.0,50004636.0,88562558.0,128.65,68.19,218.15,11.0,10.83,11.22,7741.45,7740.59,7742.83,2343.8,2253.19,2419.81,7281727.0,4755050.0,11462110.0,59492743.0,45261847.0,77308107.0,121456.4,83489.03,171533.1,131300.3,85090.78,184799.0,49907676.0,36.1724,0,0,1.1373,0,0.4799,0,7958.27,14115.63,3621.64,1511.22,2682.82,687.14,616.89,1131.2,298.04,309.1717,562.2971,149.1365,307.716,566.5081,147.7392
Azad Jammu and Kashmir,Pakistan,2021-01-28,34.027401,73.947253,8931.0,259.0,8317.0,5209.2,7359.93,3694.68,3000.33,1505.73,5173.64,1490177.0,1188776.0,1797858.0,9.94,4.99,17.14,0.86,0.86,0.86,259.6,259.17,260.29,27.67,27.67,27.67,0.0,0.0,0.0,1490177.0,1188776.0,1797858.0,0.0,0.0,0.0,5209.2,3694.684,7359.926,4334762.0,6.4071,1,1,1.1512,0,0.4155,1,633.31,963.21,355.46,116.2,176.74,65.22,55.45,100.75,25.99,0.0,0.0,0.0,55.44982,100.7494,25.99001
Balochistan,Pakistan,2021-01-28,28.328492,65.898403,18788.0,193.0,18357.0,2389.9,3711.5,262.95,6291.27,3446.32,10820.27,5986556.0,4011785.0,7377977.0,9.29,5.1,15.97,0.29,0.29,0.29,194.11,193.95,194.37,10.89,10.89,10.89,0.0,0.0,0.0,5986556.0,4011785.0,7377977.0,0.0,0.0,0.0,2389.903,262.9532,3711.505,13398367.0,7.4399,1,1,1.1407,0,0.2685,1,407.79,761.4,227.2,74.82,139.71,41.69,39.57,86.98,15.36,0.0,0.0,0.0,39.5741,86.98033,15.36353
Gilgit-Baltistan,Pakistan,2021-01-28,35.792146,74.982138,4906.0,102.0,4781.0,395.91,635.91,198.8,1978.45,1023.98,3471.74,1128405.0,644931.0,1515088.0,0.42,0.23,0.72,0.02,0.02,0.02,102.65,102.38,103.08,1.07,1.07,1.07,0.0,0.0,0.0,1128405.0,644931.0,1515088.0,0.0,0.0,0.0,395.9102,198.8039,635.9121,2227138.0,6.4071,1,1,1.1538,0,0.3447,1,18.12,33.19,8.96,3.33,6.09,1.64,1.17,2.75,0.51,0.0,0.0,0.0,1.174803,2.749615,0.508987
Islamabad,Pakistan,2021-01-28,33.665087,73.121219,41076.0,472.0,39079.0,1637.14,2579.75,732.08,1385.37,839.32,2261.67,800120.5,426029.0,1138070.0,3.57,2.17,5.82,1.23,1.22,1.23,475.4,473.93,477.23,89.24,89.24,89.24,0.0,0.0,0.0,800120.5,426029.0,1138070.0,0.0,0.0,0.0,1637.137,732.0758,2579.75,2155173.0,-4.8044,1,1,1.151,0,0.4624,1,129.62,191.32,85.11,23.78,35.1,15.62,12.93,20.34,6.31,0.0,0.0,0.0,12.92556,20.33571,6.310756
Khyber Pakhtunkhwa,Pakistan,2021-01-28,34.485332,72.09169,66198.0,1870.0,61462.0,41724.31,57348.07,22876.46,34619.69,16478.43,62693.19,23461385.0,14510299.0,27780388.0,174.24,82.92,315.54,9.43,9.43,9.43,1873.81,1873.5,1874.3,239.17,239.17,239.17,0.0,0.0,0.0,23461385.0,14510299.0,27780388.0,0.0,0.0,0.0,41724.31,22876.46,57348.07,38100471.0,14.1245,1,1,1.1514,0,0.4016,1,4992.27,9401.97,2268.8,916.01,1725.13,416.29,374.43,828.25,130.48,0.0,0.0,0.0,374.4269,828.2518,130.477
Punjab,Pakistan,2021-01-28,30.811346,72.139132,155805.0,4661.0,140545.0,100162.4,137511.8,67324.31,81266.37,41700.09,142514.1,38924972.0,31373083.0,47397552.0,439.79,225.66,771.27,25.29,25.29,25.29,4672.74,4672.45,4673.2,551.6,551.6,551.6,0.0,0.0,0.0,38924972.0,31373083.0,47397552.0,0.0,0.0,0.0,100162.4,67324.31,137511.8,113939260.0,8.6149,1,1,1.1464,0,0.4883,1,14894.0,23229.16,8318.19,2732.83,4262.22,1526.27,1328.2,2418.08,622.03,0.0,0.0,0.0,1328.199,2418.078,622.0283
