Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,Temp,Wind,Barometer,Visibility,Weather
Sindh,Pakistan,1/3/2021,26.009446,68.776807,217636,3594,196677,115831.5,148811.5,89016.33,41637.95,22088.7,70500.2,28186537,22087802,34247769,195.39,103.65,330.83,16.72,16.72,16.72,3562.5,3562.15,3563.02,1044.1,1044.1,1044.1,0,0,0,28186537,22087802,34247769,0,0,0,115831.5,89016.33,148811.5,49907676,3.7529,1,1,1.1303,0,0.5382,1,7633.92,11082.4,4609.2,1334.91,1937.93,805.99,748.71,1159.29,427.55,0,0,0,748.7127,1159.286,427.5546,44,7.14,27.29,21.44,Scattered clouds.
Azad Jammu and Kashmir,Pakistan,1/3/2022,34.027401,73.947253,34667,746,,3901.24,11172.52,1189.56,8644.43,4334.76,14911.07,3776567,3085668,4684661,0.03,0.03,0.03,0,0,0.01,747.87,746.97,749.34,3.67,3.67,3.67,69158.67,53390.83,98312.86,3707408,3032178,4584863,1689.148,498.6769,4900.631,2212.087,690.9436,6271.887,4334762,40.8297,1,1,1.1441,0,0.3746,1,48.25,110.67,20.34,8.47,18.83,3.7,3.54,7.76,1.09,1.420002,3.142611,0.4481628,2.118322,4.613729,0.6427814,42.29,2.57,39.29,0,Overcast.
Balochistan,Pakistan,1/3/2022,28.328492,65.898403,33644,364,,3810.36,9149.52,911.52,11840.01,6486.77,20362.18,9820577,6713863,12284284,11.61,6.36,19.95,0.36,0.36,0.36,365.32,364.99,365.76,3.32,3.32,3.32,97674.24,67828.26,140566.3,9722902,6640162,12157081,1240.616,278.8309,3119.91,2569.744,632.6853,6029.615,13398367,39.8137,1,1,1.1341,0,0.2565,1,108.64,234.59,43.4,19.14,39.69,7.98,3.86,8.76,0.69,1.179751,2.684986,0.2122558,2.683249,6.076282,0.4818668,42.71,11.29,53.86,0,Fog.
Gilgit-Baltistan,Pakistan,1/3/2022,35.792146,74.982138,10429,186,,591.6,1202.28,278.32,3605.16,1866.73,6324.49,1911795,1266270,2567809,0.02,0.01,0.03,0,0,0,187.07,186.51,187.95,0.03,0.03,0.03,19644.73,11727.03,29857.76,1892150,1249612,2538973,206.8626,96.35102,425.1847,384.7418,181.4209,777.0935,2227138,39.1973,1,1,1.1466,0,0.3536,1,0.4,0.93,0.11,0.08,0.19,0.02,0.02,0.04,0.01,0.006671463,0.01261253,0.002602379,0.01355067,0.02559919,0.005466155,43.43,5.57,42.14,21.55,Passing clouds.
Islamabad,Pakistan,1/3/2022,33.665087,73.121219,108755,967,,7880.83,19818.6,3118.76,2838.79,1720.08,4634.06,1629246,881506.7,2470717,0.03,0.03,0.03,0.01,0.01,0.02,974.15,971.07,978.03,63.89,63.89,63.89,67282.7,22931.85,163870.1,1561964,856223,2341365,3378.579,1325.309,8693.43,4502.252,1793.367,11125.17,2155173,20.7351,1,1,1.1439,0,0.3624,1,59.36,154.9,27.35,10.56,28.36,4.92,11.98,41.38,3.86,4.867004,17.26785,1.44672,7.114457,24.1306,2.391579,65.71,10.29,51.14,30.07,Clear.
Khyber Pakhtunkhwa,Pakistan,1/3/2022,34.485332,72.09169,181469,5933,,71458.6,280562.5,13470.81,109649.1,52185.69,198573.3,55809262,28288051,91063452,31.7,15.1,57.4,1.72,1.72,1.72,5934.73,5934.09,5935.75,34.53,34.53,34.53,1764995,407053,5719942,54044267,27862230,86192958,26673.13,4742.79,105919,44785.47,8701.957,174643.4,38100471,52.7466,1,1,1.1443,0,0.272,1,1237.38,4974.34,296.79,217.01,864.35,52.47,159.6,735.65,18.39,66.78477,306.2214,7.030849,92.81843,429.487,11.36215,32.3,3.32,31.18,16.46,Passing clouds.
Punjab,Pakistan,1/3/2022,30.811346,72.139132,445445,13074,,266973.8,669242.2,150561.8,227392.5,116678.3,398775.6,85043858,64931790,109162488,26.12,13.41,45.78,1.5,1.5,1.5,13074.82,13074.21,13075.77,224.1,224.1,224.1,2351835,1319149,4512322,82692023,63659708,105102166,112781.9,63317.86,285799.8,154191.9,87243.96,383442.3,113939260,44.0467,1,1,1.1395,0,0.4277,1,1367.98,3839.31,642.89,242.25,723.76,113.42,198.46,608.53,88.3,88.86807,282.1924,38.44771,109.5878,325.747,49.43231,47.23,1,6.33,5.02,Passing clouds.
Sindh,Pakistan,1/3/2022,26.009446,68.776807,482826,7673,,485757.2,969144.7,277198,89264.51,47355.22,151138.8,57383569,42822463,77646412,15.06,8,25.48,1.29,1.29,1.29,7637.39,7636.56,7638.65,438.67,438.67,438.67,3050781,1583381,6370799,54332788,41036871,71253470,201046.1,113218,412581.1,284711,163437,556563.6,49907676,29.2039,1,1,1.1303,0,0.4104,1,2214.24,6903.05,907.29,393.45,1220.53,159,361.48,1149.21,116.54,152.6041,496.045,47.79008,208.8743,653.1681,68.75232,65.71,10.29,51.14,30.07,Clear.
Azad Jammu and Kashmir,Pakistan,1/4/2021,34.027401,73.947253,8357,226,7758,4013.96,6280.44,2459.8,2641.2,1325.69,4554.1,1383914,1108225,1665605,19.02,9.53,32.82,1.65,1.64,1.65,228.53,228.14,229.16,22.39,22.39,22.39,0,0,0,1383914,1108225,1665605,0,0,0,4013.958,2459.798,6280.438,4334762,6.9252,1,1,1.1455,0,0.4333,1,457.32,740.23,251.45,79.72,129.04,43.84,54.2,106.26,20.98,0,0,0,54.19902,106.2625,20.9807,35.57,2.71,38.57,0,Clear.
Balochistan,Pakistan,1/4/2021,28.328492,65.898403,18247,185,17812,7757.94,11309.56,4877.85,6005.75,3289.78,10329.41,5889922,3933252,7256645,13.92,7.63,23.94,0.43,0.43,0.43,185.3,185.16,185.54,21.32,21.32,21.32,0,0,0,5889922,3933252,7256645,0,0,0,7757.94,4877.851,11309.56,13398367,14.4439,1,1,1.1354,0,0.2814,1,524.68,901.44,256.76,91.47,157.15,44.76,52.14,96.67,21.67,0,0,0,52.14364,96.67273,21.67463,26,3.14,18,0,Clear.
Gilgit-Baltistan,Pakistan,1/4/2021,35.792146,74.982138,4867,101,4716,207.32,396.32,85.47,1962.89,1015.62,3444.92,1122413,640768.9,1507642,0.77,0.41,1.33,0.04,0.04,0.04,101.84,101.59,102.23,2.82,2.82,2.82,0,0,0,1122413,640768.9,1507642,0,0,0,207.3231,85.46663,396.324,2227138,6.9252,1,1,1.148,0,0.3252,1,38.29,66.38,19.25,6.68,11.57,3.36,2.6,5.42,1.11,0,0,0,2.600273,5.418146,1.112315,36.86,4.43,50.86,21.46,Fog.
Islamabad,Pakistan,1/4/2021,33.665087,73.121219,38263,428,35093,1557.11,2787.74,774.4,1255.74,760.83,2049.95,769508.4,410533.7,1094602,7.32,4.43,11.96,2.51,2.51,2.52,430.92,429.57,432.61,138.53,138.53,138.53,0,0,0,769508.4,410533.7,1094602,0,0,0,1557.11,774.4025,2787.74,2155173,4.7732,1,1,1.1453,0,0.5293,1,280.94,424.8,138.45,48.98,74.06,24.14,24.13,36.62,10.94,0,0,0,24.12587,36.62142,10.94029,51.71,6.71,23.57,17.11,Clear.
Khyber Pakhtunkhwa,Pakistan,1/4/2021,34.485332,72.09169,59484,1675,54519,70835.41,98884.62,41875.79,31066.24,14787.18,56257.99,22221382,13652891,26135924,165,78.53,298.81,8.93,8.93,8.93,1681.48,1681.19,1681.93,263.24,263.24,263.24,0,0,0,22221382,13652891,26135924,0,0,0,70835.41,41875.79,98884.62,38100471,17.24,1,1,1.1457,0,0.3671,1,5368.67,10321.64,2526.96,935.93,1799.38,440.53,456.31,975.37,161.54,0,0,0,456.3127,975.3735,161.5441,39.98,3.11,31.11,18.43,Clear.
Punjab,Pakistan,1/4/2021,30.811346,72.139132,140714,4124,125129,119805.9,161252.1,87180.61,72050.48,36971.32,126352.2,36347863,29123438,44400837,458.43,235.22,803.95,26.36,26.36,26.36,4142.84,4142.57,4143.26,699.24,699.24,699.24,0,0,0,36347863,29123438,44400837,0,0,0,119805.9,87180.61,161252.1,113939260,8.1716,1,1,1.1409,0,0.4107,1,15865.8,24806.1,8767.15,2765.9,4324.47,1528.39,1379.68,2485.59,654.61,0,0,0,1379.681,2485.586,654.6136,44.65,1.98,16.58,9.36,Clear.
Sindh,Pakistan,1/4/2021,26.009446,68.776807,218597,3611,197430,111921.9,146236.4,86331.46,41830,22190.57,70825.37,28298459,22174616,34384991,192.05,101.88,325.18,16.43,16.43,16.43,3578.93,3578.58,3579.46,1044.96,1044.96,1044.96,0,0,0,28298459,22174616,34384991,0,0,0,111921.9,86331.46,146236.4,49907676,3.7238,1,1,1.1316,0,0.5378,1,7664.98,11098.53,4651.35,1336.24,1934.82,810.88,757.76,1182.22,443.06,0,0,0,757.7644,1182.223,443.0572,51.71,6.71,23.57,17.11,Clear.
Azad Jammu and Kashmir,Pakistan,1/4/2022,34.027401,73.947253,34672,746,,4830.35,11136.91,1370.13,8645.28,4335.2,14912.52,3781397,3088729,4689822,0.86,0.44,1.46,0.07,0.07,0.08,747.94,747.04,749.41,4.53,4.53,4.53,71272.12,54298.93,100451.5,3710125,3033946,4587736,2113.444,584.942,4935.793,2716.903,785.0967,6201.118,4334762,40.8297,1,1,1.1455,0,0.3761,1,44.31,95.07,20.24,7.81,16.21,3.68,4.09,10.78,0.56,1.651735,4.257842,0.2217452,2.439174,6.501597,0.3366719,27.86,3.14,47.43,0,Passing clouds.
