Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,Temp,Wind,Barometer,Visibility,Weather
Islamabad,Pakistan,9/15/2021,33.665087,73.121219,103293,892,,1341.6,2234.96,692.4,2619.95,1586.76,4277.97,1464224,822520.5,2173717,5.86,3.55,9.57,2.01,2.01,2.02,899.01,896.45,902.23,219.53,219.53,219.53,11975.86,6607.434,20499.24,1452248,815966,2153566,144.0511,72.06889,246.5912,1197.553,620.3351,1988.367,2155173,15.979,1,1,0.769,0,0.4517,1,448.75,710.53,259.41,98.58,156.09,56.98,38.35,62.29,19.68,6.17609,10.13782,3.022963,32.17114,52.14896,16.65887,66.71,6,37.14,21.09,Clear.
Khyber Pakhtunkhwa,Pakistan,9/15/2021,34.485332,72.09169,169429,5310,,80431.59,205405.6,27275.02,98332.96,46799.32,178081,50613437,27004467,75959262,388.03,184.66,702.76,21,21,21,5322.24,5321.71,5323.09,412.17,412.17,412.17,572651.1,189603.9,1369065,50040786,26804487,74499305,8439.757,2497.314,23542.32,71991.83,24777.71,181783.3,38100471,37.4921,1,1,0.7685,0,0.3075,1,8846.25,16171.68,4158.98,1943.29,3552.49,913.62,566.98,1213.8,212.49,114.4733,281.0506,36.52734,452.5102,937.465,175.9543,62.55,5.32,46.52,21.62,Haze.
Punjab,Pakistan,9/15/2021,30.811346,72.139132,416901,12291,,91621.94,129903.5,69162.47,213952.8,109781.2,375208.1,79463432,61956744,99415081,437.31,224.39,766.91,25.14,25.14,25.15,12302.04,12301.53,12302.83,1244.67,1244.67,1244.67,673220.8,487812.5,877343.8,78790211,61490848,98538339,9711.82,7213.295,14179.44,81910.12,61946.18,115638.1,113939260,27.4155,1,1,0.776,0,0.4978,1,19543.11,31007.58,10325.08,4293.11,6811.55,2268.15,1518.61,2712.52,763.55,267.5258,487.2562,132.9794,1251.082,2225.778,631.6966,79.48,3.21,25.94,14.2,Clear.
Sindh,Pakistan,9/15/2021,26.009446,68.776807,446840,7192,,53897.65,78529.74,37519.51,83728.57,44417.38,141767.1,49774313,38479554,62724866,210.42,111.62,356.28,18,18,18,7163.72,7163.04,7164.76,820.74,820.74,820.74,473615.2,329479.6,667962.1,49300698,38138909,62071113,5704.272,3823.654,8529.44,48193.37,33695.86,70000.3,49907676,24.3383,1,1,0.7908,0,0.5139,1,8097.97,12917.47,4732.04,1778.91,2837.63,1039.5,684.52,1191.12,371.47,111.8424,200.7564,60.83064,572.6759,990.359,308.4324,66.71,6,37.14,21.09,Clear.
Azad Jammu and Kashmir,Pakistan,9/16/2020,34.027401,73.947253,2441,66,2212,2628.65,3295.9,1719.08,766.54,386.08,1319.79,508048.5,390877.3,631479.5,2.51,1.27,4.31,0.22,0.22,0.22,66.35,66.11,66.73,15.67,15.67,15.67,0,0,0,508048.5,390877.3,631479.5,0,0,0,2628.651,1719.084,3295.9,4334762,5.2434,1,1,0.7738,0,0.2517,1,259.44,403.7,152.66,48.46,75.4,28.51,27.47,45.46,15.41,0,0,0,27.4683,45.45698,15.41333,57.71,0.71,10.86,0,Overcast.
Balochistan,Pakistan,9/16/2020,28.328492,65.898403,13690,145,12658,10299.94,21142.32,1609.34,4703.49,2575.79,8090.62,4725211,3005367,5807237,0.03,0.03,0.03,0,0,0,145.12,145.03,145.3,109.82,109.82,109.82,0,0,0,4725211,3005367,5807237,0,0,0,10299.94,1609.338,21142.32,13398367,7.0572,1,1,0.7894,0,0.271,1,799.22,1986.9,150.54,149.27,371.08,28.12,117.21,289.67,25.01,0,0,0,117.2057,289.6743,25.00835,53.14,6.29,14.86,0,Clear.
Gilgit-Baltistan,Pakistan,9/16/2020,35.792146,74.982138,3297,79,2859,3834,5660.64,2416.46,1520.65,786.25,2669.79,947449.7,519537.2,1280792,19.31,9.96,33.94,1,1,1,78.89,78.73,79.13,35.89,35.89,35.89,0,0,0,947449.7,519537.2,1280792,0,0,0,3834.004,2416.464,5660.644,2227138,5.2434,1,1,0.7699,0,0.2913,1,369.82,636.5,181.13,69.07,118.88,33.83,31.99,59.87,13.11,0,0,0,31.98929,59.86798,13.10869,73.29,6.71,49.29,25.39,Passing clouds.
Islamabad,Pakistan,9/16/2020,33.665087,73.121219,15984,178,15430,1058.09,1677.16,494.55,526.25,319.49,858.05,365430.7,227698.7,573545.2,0.86,0.53,1.39,0.3,0.29,0.3,180.63,179.81,181.66,31.96,31.96,31.96,0,0,0,365430.7,227698.7,573545.2,0,0,0,1058.086,494.5487,1677.156,2155173,12.0015,1,1,0.774,0,0.3323,1,51.67,82.92,34.68,9.65,15.49,6.48,5.08,8.51,2.82,0,0,0,5.077586,8.507415,2.816884,76.71,4.43,38.14,16.91,Clear.
Khyber Pakhtunkhwa,Pakistan,9/16/2020,34.485332,72.09169,37140,1257,35181,9454.24,14114.87,3910.2,23231.61,11057.42,42071.1,15792443,9542315,18710976,3.99,1.91,7.2,0.22,0.22,0.22,1257.42,1257.24,1257.7,55.96,55.96,55.96,0,0,0,15792443,9542315,18710976,0,0,0,9454.239,3910.201,14114.87,38100471,3.6966,1,1,0.7735,0,0.1577,1,806.18,1992.16,198.48,150.57,372.06,37.07,71.27,168.12,16.42,0,0,0,71.26759,168.1199,16.41564,77.18,5.48,39.25,24.29,Passing clouds.
Punjab,Pakistan,9/16/2020,30.811346,72.139132,97946,2220,94693,32256.16,57287.15,20044.98,42958.15,22043.25,75333.93,23958717,18595876,30213766,24.88,12.78,43.6,1.43,1.43,1.43,2470.06,2469.89,2470.32,97.1,97.1,97.1,0,0,0,23958717,18595876,30213766,0,0,0,32256.16,20044.98,57287.15,113939260,3.3607,1,1,0.7809,0,0.2757,1,1134.46,2010.36,573.09,211.88,375.46,107.03,123.26,214.64,62.94,0,0,0,123.2593,214.643,62.93541,78.25,3.73,42.48,17.88,Passing clouds.
Sindh,Pakistan,9/16/2020,26.009446,68.776807,132591,2448,127727,30209.17,37255.62,23833.19,28205.06,14962.29,47756.52,18379419,14460655,21783972,29.25,15.53,49.51,2.5,2.5,2.5,2413.19,2412.98,2413.5,245.24,245.24,245.24,0,0,0,18379419,14460655,21783972,0,0,0,30209.17,23833.19,37255.62,49907676,12.1541,1,1,0.7953,0,0.3565,1,2178.47,3344.47,1285.66,406.86,624.63,240.12,211.83,348.64,112.26,0,0,0,211.8334,348.638,112.2614,76.71,4.43,38.14,16.91,Clear.
Azad Jammu and Kashmir,Pakistan,9/16/2021,34.027401,73.947253,33551,727,,1947.29,2980.24,1122.58,8419.83,4220.75,14525.67,3689048,3032229,4551791,15.72,7.88,27.12,1.36,1.36,1.36,728.41,727.66,729.63,62.32,62.32,62.32,44721.46,29832.8,66447.05,3644327,2990847,4491659,230.5165,126.5903,373.0353,1716.777,995.9929,2609.479,4334762,27.4025,1,1,0.7721,0,0.3668,1,642.99,1212.12,288.97,141.73,267.18,63.7,44.53,89.78,16.8,8.19304,19.08009,2.994697,36.33732,70.98349,13.78989,47.57,1.14,48,0,Clear.
Balochistan,Pakistan,9/16/2021,28.328492,65.898403,32671,344,,7369.44,13104.37,3756.21,11160.63,6113.58,19195.34,9461171,6408908,11825545,9.29,5.1,15.97,0.29,0.29,0.29,344.35,344.08,344.73,26.17,26.17,26.17,38877.14,24579.74,53232.66,9422294,6383639,11772825,647.4868,330.8764,1161.071,6721.955,3425.335,11943.3,13398367,33.516,1,1,0.7878,0,0.3391,1,710.16,1280.37,332.81,156.53,282.22,73.36,58.86,121.95,19.24,7.603802,15.88974,2.417793,51.25314,106.0567,16.82316,58.43,10.14,22.14,0,Clear.
Gilgit-Baltistan,Pakistan,9/16/2021,35.792146,74.982138,10204,182,,587.51,994.19,225.15,3523.41,1823.07,6183.17,1895784,1251118,2553713,5.54,2.87,9.72,0.29,0.29,0.29,182.81,182.34,183.55,11.1,11.1,11.1,16811.85,9951.441,25982.3,1878972,1237126,2527566,54.80573,20.90566,96.67714,532.7067,204.2447,897.5131,2227138,27.4025,1,1,0.7682,0,0.3629,1,175.1,299.2,82.9,38.6,65.95,18.27,9.17,19.58,3.08,1.372423,3.085455,0.4718792,7.795326,16.52265,2.608264,61.57,5.14,42.43,21.2,Haze.
Islamabad,Pakistan,9/16/2021,33.665087,73.121219,103549,893,,1321.56,2220.55,649.58,2625.81,1590.31,4287.54,1465546,823158.9,2175935,5.86,3.55,9.57,2.01,2.01,2.02,901.02,898.46,904.24,205.46,205.46,205.46,12120.27,6676.254,20737.63,1453425,816536.8,2155534,144.4064,68.82012,250.2994,1177.154,580.759,1972.273,2155173,17.3301,1,1,0.7723,0,0.4476,1,437.58,703.58,250.82,96.45,155.08,55.29,35.19,57.16,17.86,5.744767,9.42249,2.791251,29.4461,47.75307,15.06947,64.57,4.71,34,16.91,Passing clouds.
Khyber Pakhtunkhwa,Pakistan,9/16/2021,34.485332,72.09169,169972,5329,,77060.88,189955.9,25903.52,98711.76,46979.58,178767,50690498,27032350,76160306,378.79,180.26,686.02,20.5,20.5,20.5,5342.74,5342.21,5343.59,389.6,389.6,389.6,580870.1,192011.4,1390920,50109628,26829769,74677118,8218.906,2407.53,22078.44,68841.97,23495.99,168100.7,38100471,38.0425,1,1,0.7718,0,0.3039,1,8536.14,15543.06,4041.2,1881.55,3426.02,890.77,561.08,1234.1,213.86,114.9564,291.3652,36.50638,446.1224,942.7304,176.9323,61.23,5.59,45.57,20.96,Haze.
Punjab,Pakistan,9/16/2021,30.811346,72.139132,418196,12319,,87159.27,118841.5,65770.54,214408.8,110015.1,376007.7,79550591,62022194,99520659,455.94,233.95,799.59,26.22,26.22,26.22,12328.26,12327.75,12329.04,1215.6,1215.6,1215.6,682635.3,495856,889149.2,78867956,61549379,98632343,9414.508,6986.959,12983.34,77744.76,58776.67,105858.1,113939260,28.0797,1,1,0.7793,0,0.4951,1,18852.44,30187.22,10050.26,4155.48,6653.9,2215.29,1507.8,2665.8,755.36,269.2962,484.7868,134.5835,1238.501,2181.772,622.2832,80.81,2.44,21.44,11.75,Clear.
Sindh,Pakistan,9/16/2021,26.009446,68.776807,447678,7210,,51605.62,72435.12,36905.39,83925.63,44521.91,142100.7,49825919,38519180,62792621,197.06,104.53,333.66,16.86,16.86,16.86,7180.58,7179.89,7181.62,791.46,791.46,791.46,479176.8,333431.3,676242.5,49346742,38174401,62131290,5561.598,3868.279,8140.302,46044.02,33037.11,64340.39,49907676,24.2488,1,1,0.7938,0,0.5156,1,8028.51,12881.55,4699.74,1769.65,2839.37,1035.92,671.25,1253.64,358.92,111.1842,208.6813,59.86967,560.0689,1042.127,297.2625,64.57,4.71,34,16.91,Passing clouds.
Azad Jammu and Kashmir,Pakistan,9/17/2020,34.027401,73.947253,2451,66,2231,2855.49,3719.99,2130.95,771.52,388.59,1328.38,510904,393447.6,635088.9,4.99,2.51,8.59,0.43,0.43,0.43,66.78,66.55,67.17,16.39,16.39,16.39,0,0,0,510904,393447.6,635088.9,0,0,0,2855.488,2130.947,3719.985,4334762,5.3568,1,1,0.7757,0,0.252,1,263.33,414.03,154.43,48.97,76.99,28.72,27.18,45.65,13.98,0,0,0,27.18215,45.64845,13.97865,29.29,1.43,21.29,0,Sunny.
Balochistan,Pakistan,9/17/2020,28.328492,65.898403,13798,145,12770,9379.35,17758.24,1406.46,4703.52,2575.82,8090.65,4734590,3008298,5823443,0.03,0.03,0.03,0,0,0,145.12,145.03,145.3,114.24,114.24,114.24,0,0,0,4734590,3008298,5823443,0,0,0,9379.346,1406.462,17758.24,13398367,6.6525,1,1,0.7912,0,0.2715,1,888.26,2221.39,179.34,165.17,413.06,33.35,119.27,295.57,25.36,0,0,0,119.2746,295.567,25.36077,33.14,4,6.14,0,Scattered clouds.
Gilgit-Baltistan,Pakistan,9/17/2020,35.792146,74.982138,3336,79,2894,3586.67,5621.89,2210.9,1538.59,795.5,2701.31,951036.3,521951.2,1284152,17.94,9.25,31.52,0.93,0.93,0.93,79.82,79.66,80.06,36.46,36.46,36.46,0,0,0,951036.3,521951.2,1284152,0,0,0,3586.674,2210.901,5621.892,2227138,5.3568,1,1,0.7718,0,0.291,1,378.05,650.05,186.22,70.3,120.87,34.63,31.05,59.39,12.33,0,0,0,31.05158,59.38764,12.3334,24.86,2.43,15.14,8.45,Haze.
Islamabad,Pakistan,9/17/2020,33.665087,73.121219,16005,178,15453,1094.15,1837.23,492.48,527.11,320.02,859.45,366524.8,228191.5,574592.6,0.86,0.53,1.39,0.3,0.29,0.3,180.93,180.1,181.96,31.74,31.74,31.74,0,0,0,366524.8,228191.5,574592.6,0,0,0,1094.149,492.4833,1837.226,2155173,12.0186,1,1,0.7759,0,0.3384,1,53.14,84.34,35.38,9.88,15.68,6.58,5.5,8.52,3.06,0,0,0,5.497495,8.516278,3.064508,39,5.71,27.14,12.7,Partly sunny.
Khyber Pakhtunkhwa,Pakistan,9/17/2020,34.485332,72.09169,37185,1257,35287,9531.04,14559.59,3980.89,23234.28,11058.71,42075.91,15801974,9548519,18725376,2.67,1.29,4.81,0.14,0.14,0.15,1257.56,1257.38,1257.85,52.89,52.89,52.89,0,0,0,15801974,9548519,18725376,0,0,0,9531.044,3980.889,14559.59,38100471,3.3699,1,1,0.7754,0,0.1597,1,787.79,1956.52,198.73,146.49,363.81,36.95,67.79,157.14,19.48,0,0,0,67.79113,157.1361,19.48045,80.36,7.5,51.73,27.66,Haze.
Punjab,Pakistan,9/17/2020,30.811346,72.139132,98041,2223,94721,34470.34,60462.03,20550.73,42980.54,22054.75,75373.18,23993187,18630486,30257575,22.39,11.5,39.25,1.29,1.29,1.29,2471.34,2471.18,2471.6,96.96,96.96,96.96,0,0,0,23993187,18630486,30257575,0,0,0,34470.34,20550.73,60462.03,113939260,3.4495,1,1,0.7827,0,0.2755,1,1178.53,2062.09,600.58,219.14,383.44,111.68,126.12,214.97,63.29,0,0,0,126.1224,214.9676,63.29278,80.77,5.6,48.06,22.81,Fog.
Sindh,Pakistan,9/17/2020,26.009446,68.776807,132818,2451,127813,29893.12,37192.01,23870.63,28230.97,14976.04,47800.37,18409312,14484603,21820299,25.91,13.76,43.85,2.22,2.22,2.22,2415.4,2415.2,2415.71,257.82,257.82,257.82,0,0,0,18409312,14484603,21820299,0,0,0,29893.12,23870.63,37192.01,49907676,12.1992,1,1,0.797,0,0.3557,1,2246.71,3403.92,1327.59,417.77,632.95,246.86,216.99,353.7,119.42,0,0,0,216.9926,353.6974,119.4182,39,5.71,27.14,12.7,Partly sunny.
Azad Jammu and Kashmir,Pakistan,9/17/2021,34.027401,73.947253,33628,728,,1849.29,2914.8,820.72,8433.9,4227.8,14549.94,3690897,3034098,4554262,14.07,7.05,24.27,1.22,1.22,1.22,729.63,728.88,730.85,56.96,56.96,56.96,44943.61,29951.34,66816.42,3645954,2992495,4493820,222.1538,95.61164,369.9103,1627.134,726.1027,2546.307,4334762,27.8248,1,1,0.7738,0,0.367,1,599.71,1141.86,264.72,132.84,252.93,58.64,39.48,81.76,14.23,7.355774,17.59796,2.46188,32.1235,64.27684,11.64942,48,1.57,47.29,0,Clear.
Balochistan,Pakistan,9/17/2021,28.328492,65.898403,32707,344,,7816.63,13971.36,4171.6,11165.29,6116.15,19203.34,9468988,6414735,11835347,4.66,2.56,8,0.14,0.14,0.14,344.49,344.22,344.88,23.74,23.74,23.74,39574.54,25119.83,53883.6,9429413,6388952,11781740,697.3957,372.2376,1259.721,7119.234,3799.357,12711.64,13398367,33.2582,1,1,0.7894,0,0.3396,1,688.85,1298.68,313.31,152.59,287.67,69.4,52.37,117.73,15.39,6.85136,15.67294,2.013525,45.51643,102.0562,13.37964,43.86,6.86,26.57,0,Clear.
Gilgit-Baltistan,Pakistan,9/17/2021,35.792146,74.982138,10222,182,,540.36,941.21,208.96,3524.82,1823.81,6185.62,1896324,1251628,2554102,1.41,0.74,2.45,0.07,0.07,0.07,182.89,182.41,183.62,10.82,10.82,10.82,16862.98,9985.329,26046.64,1879461,1237589,2527916,51.13252,19.70101,92.79597,489.2263,189.2552,848.413,2227138,27.8248,1,1,0.7699,0,0.3637,1,163.79,274.42,78.6,36.28,60.79,17.41,9.88,20.75,4.36,1.507734,3.33643,0.6269257,8.37547,17.40107,3.71834,22.86,0.71,11.43,4.24,Passing clouds.
Islamabad,Pakistan,9/17/2021,33.665087,73.121219,103720,895,,1265.45,2180.95,592.93,2631.67,1593.86,4297.12,1466811,823751.8,2178113,5.86,3.55,9.57,2.01,2.01,2.02,903.03,900.46,906.26,185.89,185.89,185.89,12260.57,6742.244,20970.58,1454551,817066,2157463,140.2976,63.68527,249.3778,1125.151,529.2426,1931.568,2155173,18.6271,1,1,0.774,0,0.4436,1,420.89,691.65,243.53,93.23,153.21,53.94,31.01,50.88,15.75,5.12891,8.402948,2.492477,25.88109,42.48336,13.25845,50.43,0.71,6.57,4.22,Passing clouds.
Khyber Pakhtunkhwa,Pakistan,9/17/2021,34.485332,72.09169,170391,5354,,74591.2,187992,25239.71,99078.68,47154.19,179431.5,50765089,27059625,76355517,366.92,174.61,664.51,19.86,19.86,19.86,5362.6,5362.06,5363.45,370.67,370.67,370.67,588936.4,194393.4,1412842,50176153,26854461,74849440,8066.395,2381.969,22004.38,66524.81,22857.75,166070.8,38100471,38.5966,1,1,0.7735,0,0.3004,1,8276.24,14905.73,3933.61,1833.25,3301.73,871.32,556.54,1256.54,207.52,115.6583,300.2466,36.25655,440.8768,956.2947,171.2647,68.09,5.3,47.05,22.92,Haze.
Punjab,Pakistan,9/17/2021,30.811346,72.139132,419423,12345,,83921.7,107390,64658.8,214870.9,110252.3,376818.2,79634513,62084140,99626711,462.15,237.13,810.48,26.57,26.57,26.57,12354.83,12354.32,12355.62,1172.6,1172.6,1172.6,691841.3,503465.6,900752.1,78942672,61604675,98726590,9205.986,6972.085,11915.07,74715.71,57684.42,95474.96,113939260,28.6927,1,1,0.7809,0,0.492,1,18310.8,29373.4,9853.79,4055.97,6506.42,2182.68,1480.94,2585.92,729.97,268.0079,476.0622,131.8483,1212.931,2110.585,599.1812,62.9,7.5,34.54,19.71,Clear.
Sindh,Pakistan,9/17/2021,26.009446,68.776807,448658,7224,,49690.67,69829.6,36278.43,84111.83,44620.69,142416,49875610,38559013,62858153,186.2,98.78,315.28,15.93,15.93,15.93,7196.51,7195.82,7197.55,772.96,772.96,772.96,484611.3,337365.1,684162.3,49390998,38210015,62189382,5434.524,3882.836,7942.951,44256.15,32355.57,61886.64,49907676,24.08,1,1,0.7953,0,0.5146,1,7970.16,12907.99,4662.09,1765.45,2859.21,1032.69,659.48,1244.95,363.68,110.6488,214.6672,60.06808,548.835,1030.299,300.462,50.43,0.71,6.57,4.22,Passing clouds.
Azad Jammu and Kashmir,Pakistan,9/18/2020,34.027401,73.947253,2472,66,2235,3070.27,3976.63,2409.54,777.33,391.52,1338.39,513974.3,396029.4,638762.2,5.81,2.92,10.01,0.5,0.5,0.51,67.29,67.05,67.67,16.89,16.89,16.89,0,0,0,513974.3,396029.4,638762.2,0,0,0,3070.271,2409.543,3976.631,4334762,5.415,1,1,0.7795,0,0.2526,1,268.42,422.19,155.1,49.79,78.32,28.77,26.74,42.68,12.75,0,0,0,26.73598,42.68085,12.75338,,,,,
Balochistan,Pakistan,9/18/2020,28.328492,65.898403,13991,145,12851,8820.84,15634.66,1233.89,4703.55,2575.85,8090.68,4743411,3011420,5837272,0.03,0.03,0.03,0,0,0,145.12,145.03,145.3,120.89,120.89,120.89,0,0,0,4743411,3011420,5837272,0,0,0,8820.843,1233.892,15634.66,13398367,6.1867,1,1,0.7947,0,0.2719,1,972.26,2448.56,197.99,180.36,454.23,36.73,121.52,304.98,26.19,0,0,0,121.5239,304.9753,26.18819,,,,,
Gilgit-Baltistan,Pakistan,9/18/2020,35.792146,74.982138,3381,80,2950,3307.33,5187.19,1960.21,1552.39,802.63,2725.56,954343.7,524157.4,1287434,13.8,7.12,24.25,0.72,0.72,0.72,80.54,80.38,80.78,35.74,35.74,35.74,0,0,0,954343.7,524157.4,1287434,0,0,0,3307.331,1960.212,5187.187,2227138,5.415,1,1,0.7757,0,0.2907,1,386.9,665.21,192.23,71.77,123.4,35.66,29.56,53.95,11.72,0,0,0,29.56256,53.95176,11.7241,,,,,
Islamabad,Pakistan,9/18/2020,33.665087,73.121219,16033,180,15467,1172.35,2004.22,479.95,527.98,320.55,860.84,367697.2,228668.4,575642.7,0.86,0.53,1.39,0.3,0.29,0.3,181.22,180.39,182.26,33.32,33.32,33.32,0,0,0,367697.2,228668.4,575642.7,0,0,0,1172.352,479.9549,2004.22,2155173,11.9856,1,1,0.7797,0,0.3462,1,55.41,85.77,36.21,10.28,15.91,6.72,6.17,10.45,3.38,0,0,0,6.174634,10.45131,3.377847,,,,,
Khyber Pakhtunkhwa,Pakistan,9/18/2020,34.485332,72.09169,37242,1257,35450,9685.84,15052.24,4206.32,23236.95,11060,42080.72,15811660,9554639,18740801,2.67,1.29,4.81,0.14,0.14,0.15,1257.71,1257.53,1257.99,48.1,48.1,48.1,0,0,0,15811660,9554639,18740801,0,0,0,9685.844,4206.317,15052.24,38100471,3.0784,1,1,0.7792,0,0.1622,1,761.33,1887.74,201.48,141.23,350.19,37.38,62.98,141.25,19.23,0,0,0,62.97925,141.2497,19.23495,,,,,
Punjab,Pakistan,9/18/2020,30.811346,72.139132,98142,2225,94739,36746.4,64875.44,20251.95,43000.44,22064.98,75408.07,24029933,18668835,30306028,19.91,10.23,34.89,1.14,1.14,1.15,2472.49,2472.32,2472.75,95.6,95.6,95.6,0,0,0,24029933,18668835,30306028,0,0,0,36746.4,20251.95,64875.44,113939260,3.4869,1,1,0.7864,0,0.2757,1,1222.68,2107.55,626.57,226.82,390.97,116.23,127.9,214.47,64.57,0,0,0,127.9038,214.4742,64.57095,,,,,
Sindh,Pakistan,9/18/2020,26.009446,68.776807,133125,2455,127991,29566.25,37368.48,23971.53,28258.55,14990.69,47847.05,18438878,14508821,21856896,27.58,14.64,46.68,2.36,2.36,2.36,2417.76,2417.56,2418.08,275.46,275.46,275.46,0,0,0,18438878,14508821,21856896,0,0,0,29566.25,23971.53,37368.48,49907676,12.1884,1,1,0.8005,0,0.3541,1,2305.86,3467.55,1369.44,427.76,643.26,254.04,223.24,362.45,129.23,0,0,0,223.2382,362.4457,129.2283,,,,,
Azad Jammu and Kashmir,Pakistan,9/18/2021,34.027401,73.947253,33682,728,,1744.66,2827.74,728.55,8446.32,4234.03,14571.35,3692642,3035856,4556692,12.42,6.23,21.42,1.07,1.07,1.08,730.7,729.95,731.92,54.53,54.53,54.53,45156.43,30028.87,67180.35,3647486,2994041,4495942,212.8178,86.70821,363.9306,1531.846,641.8433,2463.809,4334762,28.1986,1,1,0.7757,0,0.3675,1,558.89,1075.69,241.86,124.19,239.02,53.74,36.25,77.1,13.79,6.833273,16.82415,2.414847,29.41364,60.47407,11.2601,47.86,1.71,39.43,0,Clear.
Balochistan,Pakistan,9/18/2021,28.328492,65.898403,32722,344,,7859.81,13857.31,4254.74,11167.63,6117.45,19207.36,9476848,6421151,11843988,2.35,1.3,4.01,0.07,0.07,0.07,344.56,344.29,344.95,20.89,20.89,20.89,40286.83,25587.44,54505.36,9436561,6394794,11789587,712.2942,383.0284,1257.607,7147.518,3871.712,12599.74,13398367,33.038,1,1,0.7912,0,0.3402,1,652.64,1240.56,289.76,145.02,275.66,64.39,44.89,106.79,14.65,5.943925,14.09286,1.939363,38.95007,92.70084,12.7105,55.71,6.29,9,0,Clear.
Gilgit-Baltistan,Pakistan,9/18/2021,35.792146,74.982138,10232,182,,490.01,898.97,190.31,3524.85,1823.84,6185.65,1896814,1252093,2554450,0.03,0.03,0.03,0,0,0,182.89,182.41,183.62,10.03,10.03,10.03,16910.03,10016.1,26109.01,1879904,1238010,2528228,47.04956,18.24067,89.87639,442.9592,172.0705,809.0925,2227138,28.1986,1,1,0.7718,0,0.3645,1,153.53,255.29,74.41,34.11,56.73,16.53,10.52,24,4.38,1.63314,4.099578,0.6560341,8.891187,19.8973,3.720773,58.57,6.71,36.29,16.94,Haze.
Islamabad,Pakistan,9/18/2021,33.665087,73.121219,103923,899,,1188.2,2039.95,539.48,2637.53,1597.41,4306.69,1467999,824291.3,2180152,5.86,3.55,9.57,2.01,2.01,2.02,905.04,902.47,908.28,171.6,171.6,171.6,12394.26,6804.357,21194.34,1455605,817546.7,2159265,133.696,58.81805,236.7094,1054.509,480.6598,1803.244,2155173,19.8209,1,1,0.7759,0,0.4392,1,399.14,659.82,233.57,88.69,146.61,51.9,27.55,46.2,14.25,4.612007,7.828811,2.280795,22.93486,38.37553,11.95818,65.57,4.71,44.71,21.12,Clear.
Khyber Pakhtunkhwa,Pakistan,9/18/2021,34.485332,72.09169,170738,5374,,72336.9,180253.7,24785.76,99435.04,47323.78,180076.9,50837426,27085928,76538768,356.36,169.59,645.39,19.29,19.29,19.29,5381.89,5381.35,5382.74,356.74,356.74,356.74,596865.9,196768.7,1434081,50240560,26878235,75010993,7929.49,2375.364,21547.78,64407.41,22410.39,158719,38100471,39.146,1,1,0.7754,0,0.2961,1,8048.55,14445.28,3831.6,1788.41,3209.78,851.39,549.24,1253.81,200.41,115.6168,302.9118,35.41589,433.6228,950.8963,164.9722,77.14,6.55,53.55,25.58,Clear.
Punjab,Pakistan,9/18/2021,30.811346,72.139132,420615,12365,,81616.27,105539.2,63410.69,215329.4,110487.5,377622.2,79716129,62144163,99731972,458.43,235.22,803.95,26.36,26.36,26.36,12381.19,12380.68,12381.98,1129.74,1129.74,1129.74,700936,510718.3,912239.1,79015193,61658152,98819948,9094.742,6948.034,11939.44,72521.53,56461.66,93599.8,113939260,29.2658,1,1,0.7827,0,0.4891,1,17895.92,28672.44,9645.72,3976.52,6371.1,2143.31,1455.78,2520.75,703.56,266.6975,469.7766,128.6901,1189.087,2050.97,575.7581,57.48,5.85,41.19,22.17,Clear.
Sindh,Pakistan,9/18/2021,26.009446,68.776807,449349,7243,,47772.59,66830.48,33898.19,84291.36,44715.93,142720,49923382,38597946,62920290,179.53,95.24,303.97,15.36,15.36,15.36,7211.87,7211.18,7212.91,773.6,773.6,773.6,489913.8,341278.5,691645.4,49433468,38244761,62244364,5302.492,3683.489,7731.693,42470.1,30198.67,59078.21,49907676,23.8374,1,1,0.797,0,0.5129,1,7888.27,12920.06,4588.66,1752.8,2870.87,1019.61,648.92,1193.15,358.13,110.1829,208.333,60.19934,538.7343,984.9028,295.1438,65.57,4.71,44.71,21.12,Clear.
