Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Gilgit-Baltistan,Pakistan,2022-01-07 04:22:09,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-07 04:22:09,33.665087,73.121219,109093.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-07 04:22:09,34.485332,72.09169,181614.0,5941.0,
Punjab,Pakistan,2022-01-07 04:22:09,30.811346,72.13913199999998,446676.0,13077.0,
Sindh,Pakistan,2022-01-07 04:22:09,26.009446,68.77680699999999,484985.0,7678.0,
Azad Jammu and Kashmir,Pakistan,2021-01-08 05:22:42,34.027401,73.947253,8430.0,234.0,7894.0
Balochistan,Pakistan,2021-01-08 05:22:42,28.328492,65.898403,18314.0,186.0,17893.0
Gilgit-Baltistan,Pakistan,2021-01-08 05:22:42,35.792146,74.982138,4878.0,101.0,4727.0
Islamabad,Pakistan,2021-01-08 05:22:42,33.665087,73.121219,38842.0,436.0,36231.0
Khyber Pakhtunkhwa,Pakistan,2021-01-08 05:22:42,34.485332,72.09169,60536.0,1710.0,55728.0
Punjab,Pakistan,2021-01-08 05:22:42,30.811346,72.13913199999998,143511.0,4221.0,129321.0
Sindh,Pakistan,2021-01-08 05:22:42,26.009446,68.77680699999999,222999.0,3670.0,202034.0
Azad Jammu and Kashmir,Pakistan,2022-01-08 04:21:53,34.027401,73.947253,34696.0,747.0,
Balochistan,Pakistan,2022-01-08 04:21:53,28.328492,65.898403,33657.0,366.0,
Gilgit-Baltistan,Pakistan,2022-01-08 04:21:53,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-08 04:21:53,33.665087,73.121219,109167.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-08 04:21:53,34.485332,72.09169,181673.0,5941.0,
Punjab,Pakistan,2022-01-08 04:21:53,30.811346,72.13913199999998,447082.0,13077.0,
Sindh,Pakistan,2022-01-08 04:21:53,26.009446,68.77680699999999,485782.0,7678.0,
Azad Jammu and Kashmir,Pakistan,2021-01-09 05:22:18,34.027401,73.947253,8451.0,235.0,7923.0
Balochistan,Pakistan,2021-01-09 05:22:18,28.328492,65.898403,18351.0,187.0,17898.0
Gilgit-Baltistan,Pakistan,2021-01-09 05:22:18,35.792146,74.982138,4879.0,101.0,4728.0
Islamabad,Pakistan,2021-01-09 05:22:18,33.665087,73.121219,38970.0,436.0,36546.0
Khyber Pakhtunkhwa,Pakistan,2021-01-09 05:22:18,34.485332,72.09169,60751.0,1718.0,55928.0
Punjab,Pakistan,2021-01-09 05:22:18,30.811346,72.13913199999998,144111.0,4242.0,129852.0
Sindh,Pakistan,2021-01-09 05:22:18,26.009446,68.77680699999999,224004.0,3679.0,202570.0
Azad Jammu and Kashmir,Pakistan,2022-01-09 04:21:46,34.027401,73.947253,34702.0,747.0,
Balochistan,Pakistan,2022-01-09 04:21:46,28.328492,65.898403,33658.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-09 04:21:46,35.792146,74.982138,10430.0,186.0,
Islamabad,Pakistan,2022-01-09 04:21:46,33.665087,73.121219,109283.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-09 04:21:46,34.485332,72.09169,181715.0,5942.0,
Punjab,Pakistan,2022-01-09 04:21:46,30.811346,72.13913199999998,447530.0,13079.0,
Sindh,Pakistan,2022-01-09 04:21:46,26.009446,68.77680699999999,486740.0,7681.0,
Azad Jammu and Kashmir,Pakistan,2021-01-10 05:22:12,34.027401,73.947253,8478.0,235.0,7949.0
Balochistan,Pakistan,2021-01-10 05:22:12,28.328492,65.898403,18373.0,188.0,17899.0
Gilgit-Baltistan,Pakistan,2021-01-10 05:22:12,35.792146,74.982138,4879.0,101.0,4729.0
Islamabad,Pakistan,2021-01-10 05:22:12,33.665087,73.121219,39120.0,439.0,36705.0
Khyber Pakhtunkhwa,Pakistan,2021-01-10 05:22:12,34.485332,72.09169,61148.0,1728.0,56239.0
Punjab,Pakistan,2021-01-10 05:22:12,30.811346,72.13913199999998,144909.0,4260.0,130120.0
Sindh,Pakistan,2021-01-10 05:22:12,26.009446,68.77680699999999,225509.0,3693.0,203328.0
Azad Jammu and Kashmir,Pakistan,2022-01-10 04:22:07,34.027401,73.947253,34704.0,748.0,
Balochistan,Pakistan,2022-01-10 04:22:07,28.328492,65.898403,33659.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-10 04:22:07,35.792146,74.982138,10432.0,186.0,
Islamabad,Pakistan,2022-01-10 04:22:07,33.665087,73.121219,109396.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-10 04:22:07,34.485332,72.09169,181757.0,5943.0,
Punjab,Pakistan,2022-01-10 04:22:07,30.811346,72.13913199999998,448091.0,13080.0,
Sindh,Pakistan,2022-01-10 04:22:07,26.009446,68.77680699999999,487668.0,7681.0,
Azad Jammu and Kashmir,Pakistan,2021-01-11 05:21:50,34.027401,73.947253,8489.0,235.0,7966.0
Balochistan,Pakistan,2021-01-11 05:21:50,28.328492,65.898403,18412.0,188.0,17938.0
Gilgit-Baltistan,Pakistan,2021-01-11 05:21:50,35.792146,74.982138,4880.0,101.0,4734.0
Islamabad,Pakistan,2021-01-11 05:21:50,33.665087,73.121219,39242.0,441.0,36765.0
Khyber Pakhtunkhwa,Pakistan,2021-01-11 05:21:50,34.485332,72.09169,61424.0,1740.0,56535.0
Punjab,Pakistan,2021-01-11 05:21:50,30.811346,72.13913199999998,145508.0,4272.0,130358.0
Sindh,Pakistan,2021-01-11 05:21:50,26.009446,68.77680699999999,226338.0,3699.0,204075.0
Azad Jammu and Kashmir,Pakistan,2022-01-11 04:22:01,34.027401,73.947253,34708.0,748.0,
Balochistan,Pakistan,2022-01-11 04:22:01,28.328492,65.898403,33661.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-11 04:22:01,35.792146,74.982138,10433.0,186.0,
Islamabad,Pakistan,2022-01-11 04:22:01,33.665087,73.121219,109495.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-11 04:22:01,34.485332,72.09169,181790.0,5943.0,
Punjab,Pakistan,2022-01-11 04:22:01,30.811346,72.13913199999998,448479.0,13081.0,
Sindh,Pakistan,2022-01-11 04:22:01,26.009446,68.77680699999999,488608.0,7682.0,
Azad Jammu and Kashmir,Pakistan,2021-01-12 05:22:15,34.027401,73.947253,8501.0,235.0,7982.0
Balochistan,Pakistan,2021-01-12 05:22:15,28.328492,65.898403,18429.0,188.0,17955.0
Gilgit-Baltistan,Pakistan,2021-01-12 05:22:15,35.792146,74.982138,4882.0,101.0,4739.0
Islamabad,Pakistan,2021-01-12 05:22:15,33.665087,73.121219,39340.0,443.0,36895.0
Khyber Pakhtunkhwa,Pakistan,2021-01-12 05:22:15,34.485332,72.09169,61648.0,1743.0,56714.0
Punjab,Pakistan,2021-01-12 05:22:15,30.811346,72.13913199999998,146016.0,4299.0,130765.0
Sindh,Pakistan,2021-01-12 05:22:15,26.009446,68.77680699999999,227885.0,3708.0,206927.0
Azad Jammu and Kashmir,Pakistan,2022-01-12 04:21:44,34.027401,73.947253,34715.0,748.0,
Balochistan,Pakistan,2022-01-12 04:21:44,28.328492,65.898403,33664.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-12 04:21:44,35.792146,74.982138,10433.0,186.0,
Islamabad,Pakistan,2022-01-12 04:21:44,33.665087,73.121219,109660.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-12 04:21:44,34.485332,72.09169,181842.0,5945.0,
Punjab,Pakistan,2022-01-12 04:21:44,30.811346,72.13913199999998,448924.0,13083.0,
Sindh,Pakistan,2022-01-12 04:21:44,26.009446,68.77680699999999,490010.0,7691.0,
Azad Jammu and Kashmir,Pakistan,2021-01-13 05:22:15,34.027401,73.947253,8521.0,235.0,8001.0
Balochistan,Pakistan,2021-01-13 05:22:15,28.328492,65.898403,18467.0,188.0,17978.0
Gilgit-Baltistan,Pakistan,2021-01-13 05:22:15,35.792146,74.982138,4882.0,101.0,4744.0
Islamabad,Pakistan,2021-01-13 05:22:15,33.665087,73.121219,39462.0,447.0,37049.0
Khyber Pakhtunkhwa,Pakistan,2021-01-13 05:22:15,34.485332,72.09169,62018.0,1748.0,57027.0
Punjab,Pakistan,2021-01-13 05:22:15,30.811346,72.13913199999998,146525.0,4323.0,130912.0
Sindh,Pakistan,2021-01-13 05:22:15,26.009446,68.77680699999999,228949.0,3730.0,209239.0
Azad Jammu and Kashmir,Pakistan,2022-01-13 08:00:09,34.027401,73.947253,34719.0,749.0,
Balochistan,Pakistan,2022-01-13 08:00:09,28.328492,65.898403,33675.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-13 08:00:09,35.792146,74.982138,10437.0,186.0,
Islamabad,Pakistan,2022-01-13 08:00:09,33.665087,73.121219,109944.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-13 08:00:09,34.485332,72.09169,181906.0,5948.0,
Punjab,Pakistan,2022-01-13 08:00:09,30.811346,72.13913199999998,449843.0,13084.0,
Sindh,Pakistan,2022-01-13 08:00:09,26.009446,68.77680699999999,491743.0,7691.0,
Azad Jammu and Kashmir,Pakistan,2021-01-14 05:22:32,34.027401,73.947253,8540.0,236.0,8021.0
Balochistan,Pakistan,2021-01-14 05:22:32,28.328492,65.898403,18488.0,188.0,18002.0
Gilgit-Baltistan,Pakistan,2021-01-14 05:22:32,35.792146,74.982138,4882.0,101.0,4746.0
Islamabad,Pakistan,2021-01-14 05:22:32,33.665087,73.121219,39624.0,449.0,37200.0
Khyber Pakhtunkhwa,Pakistan,2021-01-14 05:22:32,34.485332,72.09169,62377.0,1752.0,57313.0
Punjab,Pakistan,2021-01-14 05:22:32,30.811346,72.13913199999998,147292.0,4348.0,131825.0
Sindh,Pakistan,2021-01-14 05:22:32,26.009446,68.77680699999999,230718.0,3744.0,210127.0
Azad Jammu and Kashmir,Pakistan,2022-01-14 04:21:54,34.027401,73.947253,34726.0,749.0,
Balochistan,Pakistan,2022-01-14 04:21:54,28.328492,65.898403,33682.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-14 04:21:54,35.792146,74.982138,10437.0,186.0,
Islamabad,Pakistan,2022-01-14 04:21:54,33.665087,73.121219,110243.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-14 04:21:54,34.485332,72.09169,181996.0,5952.0,
Punjab,Pakistan,2022-01-14 04:21:54,30.811346,72.13913199999998,450686.0,13085.0,
Sindh,Pakistan,2022-01-14 04:21:54,26.009446,68.77680699999999,494064.0,7693.0,
Azad Jammu and Kashmir,Pakistan,2021-01-15 05:22:24,34.027401,73.947253,8567.0,237.0,8044.0
Balochistan,Pakistan,2021-01-15 05:22:24,28.328492,65.898403,18515.0,189.0,18021.0
Gilgit-Baltistan,Pakistan,2021-01-15 05:22:24,35.792146,74.982138,4882.0,101.0,4748.0
Islamabad,Pakistan,2021-01-15 05:22:24,33.665087,73.121219,39749.0,449.0,37413.0
Khyber Pakhtunkhwa,Pakistan,2021-01-15 05:22:24,34.485332,72.09169,62719.0,1762.0,57537.0
Punjab,Pakistan,2021-01-15 05:22:24,30.811346,72.13913199999998,147953.0,4370.0,132769.0
Sindh,Pakistan,2021-01-15 05:22:24,26.009446,68.77680699999999,231953.0,3755.0,210774.0
Azad Jammu and Kashmir,Pakistan,2022-01-15 04:21:07,34.027401,73.947253,34739.0,749.0,
