,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
127,Balochistan,Pakistan,2021-01-20 05:21:54,28.328492,65.898403,18640.0,191.0,150.99954570522942,1.0246781115879828
128,Gilgit-Baltistan,Pakistan,2021-01-20 05:21:54,35.792146,74.982138,4892.0,102.0,482.6437670681463,2.0850367947669666
129,Islamabad,Pakistan,2021-01-20 05:21:54,33.665087,73.121219,40304.0,460.0,2008.599741250252,1.1413259229853117
130,Khyber Pakhtunkhwa,Pakistan,2021-01-20 05:21:54,34.485332,72.09169,64078.0,1799.0,209.93094111394183,2.807515840069915
131,Punjab,Pakistan,2021-01-20 05:21:54,30.811346,72.13913199999998,150889.0,4476.0,137.1563045568973,2.9664190232555057
132,Sindh,Pakistan,2021-01-20 05:21:54,26.009446,68.77680699999999,237308.0,3830.0,495.56811439723856,1.6139363190452911
133,Azad Jammu and Kashmir,Pakistan,2021-01-21 05:22:01,34.027401,73.947253,8706.0,248.0,215.20920480371865,2.848610153916839
134,Balochistan,Pakistan,2021-01-21 05:22:01,28.328492,65.898403,18670.0,192.0,151.24257072514132,1.0283877878950187
135,Gilgit-Baltistan,Pakistan,2021-01-21 05:22:01,35.792146,74.982138,4894.0,102.0,482.8410866785583,2.0841847159787497
136,Islamabad,Pakistan,2021-01-21 05:22:01,33.665087,73.121219,40430.0,460.0,2014.8791072535648,1.1377689834281477
137,Khyber Pakhtunkhwa,Pakistan,2021-01-21 05:22:01,34.485332,72.09169,64373.0,1811.0,210.8974136572268,2.813291286719588
138,Punjab,Pakistan,2021-01-21 05:22:01,30.811346,72.13913199999998,151603.0,4501.0,137.8053220562089,2.9689386093942733
139,Sindh,Pakistan,2021-01-21 05:22:01,26.009446,68.77680699999999,238470.0,3843.0,497.9947083128655,1.6115234620707006
140,Azad Jammu and Kashmir,Pakistan,2021-01-22 05:22:10,34.027401,73.947253,8753.0,248.0,216.3710279860957,2.8333142922426595
141,Balochistan,Pakistan,2021-01-22 05:22:10,28.328492,65.898403,18696.0,192.0,151.4531924090649,1.0269576379974326
142,Gilgit-Baltistan,Pakistan,2021-01-22 05:22:10,35.792146,74.982138,4899.0,102.0,483.3343857045888,2.082057562767912
143,Islamabad,Pakistan,2021-01-22 05:22:10,33.665087,73.121219,40548.0,461.0,2020.7597833519053,1.1369241392917036
144,Khyber Pakhtunkhwa,Pakistan,2021-01-22 05:22:10,34.485332,72.09169,64651.0,1823.0,211.8081911725936,2.819755301542126
145,Punjab,Pakistan,2021-01-22 05:22:10,30.811346,72.13913199999998,152158.0,4523.0,138.3098104485309,2.97256798853823
146,Sindh,Pakistan,2021-01-22 05:22:10,26.009446,68.77680699999999,239186.0,3855.0,499.4899245293792,1.6117164048063013
147,Azad Jammu and Kashmir,Pakistan,2021-01-23 05:22:03,34.027401,73.947253,8770.0,252.0,216.79126190312567,2.8734321550741164
148,Balochistan,Pakistan,2021-01-23 05:22:03,28.328492,65.898403,18715.0,192.0,151.6071082550091,1.0259150414106333
149,Gilgit-Baltistan,Pakistan,2021-01-23 05:22:03,35.792146,74.982138,4899.0,102.0,483.3343857045888,2.082057562767912
150,Islamabad,Pakistan,2021-01-23 05:22:03,33.665087,73.121219,40629.0,463.0,2024.7965186397491,1.1395801028821777
151,Khyber Pakhtunkhwa,Pakistan,2021-01-23 05:22:03,34.485332,72.09169,64945.0,1826.0,212.7713875377657,2.8116098236969744
152,Punjab,Pakistan,2021-01-23 05:22:03,30.811346,72.13913199999998,152925.0,4537.0,139.00700431683902,2.966813797613209
153,Sindh,Pakistan,2021-01-23 05:22:03,26.009446,68.77680699999999,239935.0,3875.0,501.0540543424639,1.6150207347823369
154,Azad Jammu and Kashmir,Pakistan,2021-01-24 05:22:35,34.027401,73.947253,8795.0,254.0,217.4092529575816,2.8880045480386585
155,Balochistan,Pakistan,2021-01-24 05:22:35,28.328492,65.898403,18736.0,193.0,151.77722576894735,1.0301024765157984
156,Gilgit-Baltistan,Pakistan,2021-01-24 05:22:35,35.792146,74.982138,4901.0,102.0,483.5317053150009,2.0812079167516835
157,Islamabad,Pakistan,2021-01-24 05:22:35,33.665087,73.121219,40713.0,465.0,2028.9827626419583,1.1421413307788666
158,Khyber Pakhtunkhwa,Pakistan,2021-01-24 05:22:35,34.485332,72.09169,65287.0,1832.0,213.8918404523537,2.806071652855852
159,Punjab,Pakistan,2021-01-24 05:22:35,30.811346,72.13913199999998,153410.0,4561.0,139.44786354256186,2.973078678052278
160,Sindh,Pakistan,2021-01-24 05:22:35,26.009446,68.77680699999999,240570.0,3888.0,502.3801190037575,1.616161616161616
161,Azad Jammu and Kashmir,Pakistan,2021-01-25 05:22:16,34.027401,73.947253,8825.0,256.0,218.15084222292865,2.9008498583569406
162,Balochistan,Pakistan,2021-01-25 05:22:16,28.328492,65.898403,18750.0,193.0,151.89063744490622,1.0293333333333334
163,Gilgit-Baltistan,Pakistan,2021-01-25 05:22:16,35.792146,74.982138,4902.0,102.0,483.6303651202072,2.08078335373317
164,Islamabad,Pakistan,2021-01-25 05:22:16,33.665087,73.121219,40815.0,468.0,2034.0660589303543,1.1466372657111357
